playerId,tid,tp,mins,g,ga,oaa,pae,pw,ps,s,ec,og,gc,yc,syc,rc,tsa,wc,br,pla,pc,pid,avg,Temporada,Jornada
79,3,14,90,1,0,0,0,0,0,0,3,0,0,0,0,0,2,0,6,20,0,2,14.0,2020,10
268,16,13,74,0,1,2,3,0,0,0,0,0,0,0,0,0,1,2,5,27,0,3,13.0,2020,10
793,2,13,89,1,0,0,0,0,0,0,1,0,0,1,0,0,1,4,8,12,0,3,13.0,2020,10
81,3,12,70,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,11,0,3,12.0,2020,10
327,19,12,77,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,8,0,3,12.0,2020,10
576,21,12,72,1,1,0,3,0,0,0,0,0,0,0,0,0,1,0,2,14,0,4,12.0,2020,10
184,9,11,90,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,10,17,0,1,11.0,2020,10
215,11,11,90,0,1,1,6,0,0,0,1,0,1,0,0,0,1,3,6,14,0,3,11.0,2020,10
228,11,11,74,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,7,7,0,3,11.0,2020,10
369,21,11,90,1,0,0,1,1,0,0,1,0,2,0,0,0,1,1,6,11,0,2,11.0,2020,10
650,13,11,90,1,0,0,0,0,0,0,3,0,1,0,0,0,1,0,9,15,0,2,11.0,2020,10
927,3,11,70,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2,16,0,4,11.0,2020,10
970,27,11,90,0,0,1,2,0,0,0,0,0,0,0,0,0,0,6,9,22,0,4,11.0,2020,10
74,3,10,88,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,3,8,0,2,10.0,2020,10
159,6,10,90,1,0,1,0,0,0,0,1,0,4,0,0,0,3,2,4,6,0,4,10.0,2020,10
335,19,10,90,0,1,1,2,0,0,0,1,0,1,0,0,0,0,2,2,13,0,4,10.0,2020,10
356,20,10,90,1,0,1,1,0,0,0,0,0,1,0,0,0,1,2,6,12,0,4,10.0,2020,10
379,27,10,90,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,11,15,0,1,10.0,2020,10
868,16,10,90,0,0,1,1,0,0,0,1,0,0,0,0,0,0,3,11,15,0,3,10.0,2020,10
53,2,9,90,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,4,14,0,1,9.0,2020,10
65,2,9,84,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,4,12,0,4,9.0,2020,10
293,6,9,68,1,0,0,0,0,0,0,1,0,2,0,0,0,2,0,6,7,0,4,9.0,2020,10
336,63,9,75,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,5,14,0,4,9.0,2020,10
561,16,9,74,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,7,0,4,9.0,2020,10
566,17,9,90,1,0,0,0,0,0,0,2,0,2,0,0,0,1,2,10,9,0,2,9.0,2020,10
568,18,9,32,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,6,0,4,9.0,2020,10
670,27,9,89,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,8,8,0,3,9.0,2020,10
