player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,Matchweek,Season
Youssef En-Nesyri,26,ma MAR,FW,21-189,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,15,2018-2019
Guido Carrillo,9,ar ARG,FW,27-196,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,15,2018-2019
Óscar Rodríguez Arnaiz,27,es ESP,AM,20-162,84,1,0,0,1,0,0,0,,0,1,0,1,1,2,0,0,15,2018-2019
   Nabil El Zhar,10,ma MAR,AM,32-102,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,15,2018-2019
Mikel Vesga,23,es ESP,CM,25-200,90,0,0,0,0,0,0,3,0.0,3,1,0,1,2,2,0,0,15,2018-2019
Rubén Pérez,21,es ESP,CM,29-225,89,2,1,0,2,0,1,1,100.0,0,0,0,0,1,3,2,0,15,2018-2019
Gerard Gumbau,6,es ESP,WB,23-354,90,2,2,0,2,0,2,5,40.0,3,1,0,1,1,3,0,0,15,2018-2019
Allan Nyom,12,cm CMR,WB,30-211,81,1,0,0,1,0,1,1,100.0,0,0,0,0,5,6,1,0,15,2018-2019
   Juanfran,2,es ESP,WB,30-087,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,15,2018-2019
Dimitris Siovas,22,gr GRE,CB,30-082,90,2,1,2,0,0,1,2,50.0,1,1,0,1,4,6,1,0,15,2018-2019
Kenneth Omeruo,24,ng NGA,CB,25-051,90,1,1,1,0,0,0,0,,0,1,1,0,0,1,5,0,15,2018-2019
Unai Bustinza,3,es ESP,CB,26-308,90,3,3,2,1,0,0,0,,0,3,1,2,4,7,1,0,15,2018-2019
Iván Cuéllar,1,es ESP,GK,34-194,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,15,2018-2019
Jaime Mata,7,es ESP,FW,30-044,90,1,1,0,1,0,1,1,100.0,0,0,0,0,1,2,3,0,15,2018-2019
Jorge Molina,19,es ESP,FW,36-229,90,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,1,0,15,2018-2019
Amath,11,sn SEN,LM,22-144,21,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,15,2018-2019
   Francisco Portillo,8,es ESP,LM,28-177,63,1,0,1,0,0,0,1,0.0,1,1,0,1,1,2,0,0,15,2018-2019
   Vitorino Antunes,3,pt POR,LM,31-250,6,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,15,2018-2019
Mauro Arambarri,18,uy URU,CM,23-068,68,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,15,2018-2019
   Sebastián Cristóforo,15,uy URU,CM,25-106,22,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,15,2018-2019
Nemanja Maksimović,20,rs SRB,CM,23-315,90,2,0,0,2,0,0,1,0.0,1,3,2,1,4,6,2,0,15,2018-2019
Dimitri Foulquier,24,fr FRA,RM,25-259,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,15,2018-2019
Leandro Cabrera,6,uy URU,LB,27-173,90,1,1,1,0,0,0,1,0.0,1,1,1,0,1,2,6,0,15,2018-2019
Bruno González,4,es ESP,CB,28-197,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,8,0,15,2018-2019
Djené,2,tg TOG,CB,26-341,90,2,1,0,2,0,0,0,,0,0,0,0,1,3,15,0,15,2018-2019
Damián Suárez,22,uy URU,RB,30-224,90,2,0,2,0,0,1,2,50.0,1,2,1,1,2,4,5,0,15,2018-2019
David Soria,13,es ESP,GK,25-247,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,15,2018-2019
Antoine Griezmann,7,fr FRA,FW,27-262,90,4,3,1,1,2,0,1,0.0,1,0,0,0,0,4,0,0,15,2018-2019
