player,shirtnumber,nationality,position,age,minutes,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,Matchweek,Season
Jaime Mata,7,es ESP,FW,29-304,79,0,0,0,1,1,2,0,0,0,0,0,0,0,6,2,75.0,2,2018-2019
   Jorge Molina,19,es ESP,FW,36-124,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,2,2018-2019
Ángel Rodríguez,9,es ESP,FW,31-120,85,0,0,0,2,1,0,1,0,1,0,0,0,1,1,0,100.0,2,2018-2019
   Leandro Cabrera,6,uy URU,LB,27-068,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2018-2019
Francisco Portillo,8,es ESP,"LM,RM",28-072,90,0,0,0,0,0,0,0,1,2,0,0,0,2,0,2,0.0,2,2018-2019
Nemanja Maksimović,20,rs SRB,CM,23-210,90,0,0,0,1,1,0,0,2,2,0,0,0,4,2,0,100.0,2,2018-2019
Mauro Arambarri,18,uy URU,CM,22-328,90,0,0,0,2,2,0,1,3,0,0,0,0,5,1,5,16.7,2,2018-2019
Iván Alejo,23,es ESP,RM,23-195,70,1,0,0,2,2,0,3,0,0,0,0,0,3,2,3,40.0,2,2018-2019
   Amath,11,sn SEN,"LM,FW",22-039,20,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,2,2018-2019
Vitorino Antunes,3,pt POR,"LB,LM",31-145,90,0,0,0,2,0,0,4,4,0,0,0,0,7,1,2,33.3,2,2018-2019
Bruno González,4,es ESP,CB,28-092,90,0,0,0,1,0,0,0,2,0,0,0,0,5,3,6,33.3,2,2018-2019
Djené,2,tg TOG,CB,26-236,90,1,0,0,2,0,0,0,1,0,0,0,0,2,5,4,55.6,2,2018-2019
Damián Suárez,22,uy URU,RB,30-119,90,0,0,0,0,2,0,2,2,0,0,0,0,4,1,0,100.0,2,2018-2019
David Soria,13,es ESP,GK,25-142,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,2,2018-2019
Sergi Enrich,9,es ESP,FW,28-179,90,0,0,0,0,0,3,0,0,0,0,0,0,5,7,5,58.3,2,2018-2019
Kiké,17,es ESP,FW,28-272,74,0,0,0,2,2,1,0,0,0,0,0,0,2,4,3,57.1,2,2018-2019
   Charles,19,br BRA,FW,34-142,16,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,100.0,2,2018-2019
Pere Milla,22,es ESP,LM,25-335,66,0,0,0,1,2,0,3,0,1,0,0,0,3,0,3,0.0,2,2018-2019
   Pablo Hervías,18,es ESP,RM,25-169,24,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,,2,2018-2019
Papakouli Diop,8,sn SEN,CM,32-158,90,0,0,0,3,1,0,0,2,1,0,0,0,10,4,3,57.1,2,2018-2019
Gonzalo Escalante,5,ar ARG,CM,25-150,90,0,0,0,2,0,0,0,3,2,0,0,0,5,3,3,50.0,2,2018-2019
Joan Jordán,24,es ESP,"RM,LM",24-049,83,0,0,0,1,2,1,4,1,2,0,0,0,3,2,1,66.7,2,2018-2019
   Bebé,10,cv CPV,LM,28-043,7,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,,2,2018-2019
José Ángel,15,es ESP,LB,28-353,90,0,0,0,1,0,0,3,0,2,0,0,0,5,0,0,,2,2018-2019
Anaitz Arbilla,23,es ESP,CB,31-101,90,1,0,0,0,0,0,0,1,2,0,0,0,11,2,1,66.7,2,2018-2019
Paulo Oliveira,12,pt POR,CB,26-228,90,0,0,0,0,2,0,0,2,0,0,0,0,5,1,3,25.0,2,2018-2019
Rubén Peña,11,es ESP,RB,27-037,90,0,0,0,0,1,0,5,1,2,0,0,0,8,1,0,100.0,2,2018-2019
Marko Dmitrović,25,rs SRB,GK,26-212,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,2,2018-2019
Guido Carrillo,9,ar ARG,FW,27-091,90,0,0,0,1,1,1,0,0,0,0,0,0,2,9,12,42.9,2,2018-2019
Javier Eraso,17,es ESP,FW,28-155,45,0,0,0,0,0,0,1,1,1,0,0,0,1,1,4,20.0,2,2018-2019
   Michael Santos,20,uy URU,"FW,LW,RW",25-164,45,0,0,0,2,1,2,0,0,0,0,0,0,4,2,6,25.0,2,2018-2019
Dani Ojeda,7,es ESP,LM,23-264,65,0,0,0,2,1,0,4,0,1,0,0,0,3,2,1,66.7,2,2018-2019
   Diego Rolán,4,uy URU,"LM,LW",25-153,25,0,0,0,1,0,0,1,1,0,0,0,0,2,1,0,100.0,2,2018-2019
Gerard Gumbau,6,es ESP,CM,23-249,90,0,0,0,1,2,0,1,1,2,0,0,0,4,2,3,40.0,2,2018-2019
Rubén Pérez,21,es ESP,CM,29-120,90,0,0,0,1,1,0,0,2,0,0,0,0,6,3,2,60.0,2,2018-2019
Nabil El Zhar,10,ma MAR,RM,31-362,90,0,0,0,1,0,0,5,0,0,0,0,0,6,0,2,0.0,2,2018-2019
Jonathan Silva,5,ar ARG,"LB,CB",24-056,90,1,0,0,1,1,0,16,1,1,0,0,0,6,1,0,100.0,2,2018-2019
Dimitris Siovas,22,gr GRE,CB,29-342,90,0,0,0,0,0,0,1,2,0,0,0,0,8,3,0,100.0,2,2018-2019
Ezequiel Muñoz,19,ar ARG,CB,27-320,83,0,0,0,1,0,0,0,0,1,0,0,0,5,1,2,33.3,2,2018-2019
   Youssef En-Nesyri,26,ma MAR,"RW,CB",21-084,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,100.0,2,2018-2019
Juanfran,2,es ESP,"RB,CB",29-347,90,0,0,0,1,0,0,10,1,1,0,0,0,3,3,0,100.0,2,2018-2019
Iván Cuéllar,1,es ESP,GK,34-089,90,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,,2,2018-2019
Willian José,12,br BRA,FW,26-274,90,0,0,0,2,0,1,0,0,1,0,0,0,5,0,1,0.0,2,2018-2019
Juanmi,7,es ESP,"FW,RW,LW",25-096,90,1,0,0,2,1,2,0,0,2,0,0,0,3,1,2,33.3,2,2018-2019
David Zurutuza,17,es ESP,LM,32-036,57,0,0,0,0,0,0,0,3,0,0,0,0,1,3,3,50.0,2,2018-2019
   Mikel Merino,8,es ESP,AM,22-063,33,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,57.1,2,2018-2019
Asier Illarramendi,4,es ESP,"CM,DM",28-169,90,0,0,0,0,3,0,0,1,2,0,0,0,7,0,4,0.0,2,2018-2019
Igor Zubeldia,5,es ESP,"CM,DM",21-147,90,0,0,0,1,0,0,0,1,2,0,0,0,5,7,6,53.8,2,2018-2019
Mikel Oyarzabal,10,es ESP,"RM,RW",21-125,72,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,2,2018-2019
   Rubén Pardo,14,es ESP,LW,25-306,18,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,,2,2018-2019
Theo Hernández,19,fr FRA,LB,20-322,90,0,0,0,1,1,0,0,2,3,0,0,0,10,0,3,0.0,2,2018-2019
Héctor Moreno,6,mx MEX,CB,30-219,90,0,0,0,0,2,0,0,2,0,0,0,0,1,6,3,66.7,2,2018-2019
Diego Llorente,3,es ESP,CB,25-008,27,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,66.7,2,2018-2019
   Aritz Elustondo,15,es ESP,CB,24-149,63,0,0,0,0,1,0,0,1,0,0,0,0,2,7,1,87.5,2,2018-2019
Joseba Zaldúa,2,es ESP,RB,26-061,90,1,0,0,3,3,0,1,3,1,0,0,0,4,1,2,33.3,2,2018-2019
Gerónimo Rulli,1,ar ARG,GK,26-096,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,2,2018-2019
Rubén Sobrino,7,es ESP,FW,26-085,72,0,0,0,3,2,1,0,0,0,0,0,0,2,0,2,0.0,2,2018-2019
   Burgui,14,es ESP,FW,24-300,18,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,,2,2018-2019
Borja Bastón,18,es ESP,FW,26-000,63,0,0,0,3,0,0,0,0,1,0,0,0,0,2,11,15.4,2,2018-2019
   John Guidetti,10,se SWE,FW,26-132,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,2,2018-2019
Jony,23,es ESP,LM,27-047,86,0,0,0,0,0,0,12,0,1,0,0,0,5,0,0,,2,2018-2019
   Patrick Twumasi,24,gh GHA,LM,24-108,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,2,2018-2019
Manu García,19,es ESP,CM,32-121,90,1,0,0,3,4,0,1,1,0,0,0,0,3,1,1,50.0,2,2018-2019
Wakaso,22,gh GHA,CM,28-031,90,1,0,0,1,0,0,0,0,4,0,0,0,11,0,1,0.0,2,2018-2019
Ibai Gómez,11,es ESP,RM,28-287,90,0,0,0,0,1,0,4,0,0,0,0,0,7,0,0,,2,2018-2019
Rubén Duarte,3,es ESP,LB,22-311,90,0,0,0,0,3,0,4,0,1,0,0,0,5,1,1,50.0,2,2018-2019
Guillermo Maripán,6,cl CHI,CB,24-111,90,0,0,0,1,0,0,0,2,3,0,0,0,2,0,3,0.0,2,2018-2019
Víctor Laguardia,5,es ESP,CB,28-293,90,0,0,0,0,2,0,0,2,0,0,0,0,3,1,4,20.0,2,2018-2019
Martin Agirregabiria,21,es ESP,RB,22-107,90,1,0,0,3,1,0,1,1,1,0,0,0,4,0,0,,2,2018-2019
Fernando Pacheco,1,es ESP,GK,26-099,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2018-2019
Loren Morón,16,es ESP,"FW,AM",24-238,90,0,0,0,2,1,4,1,0,1,0,0,0,2,5,0,100.0,2,2018-2019
Takashi Inui,8,jp JPN,AM,30-084,60,0,0,0,2,1,1,1,0,0,0,0,0,2,0,0,,2,2018-2019
   Antonio Sanabria,9,py PAR,"AM,FW",22-174,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,2,2018-2019
Sergio Canales,6,es ESP,"AM,CM",27-190,90,0,0,0,4,2,0,4,0,0,0,0,0,8,1,1,50.0,2,2018-2019
William Carvalho,14,pt POR,CM,26-140,81,0,0,0,1,2,0,0,0,0,0,0,0,6,4,0,100.0,2,2018-2019
   Ryad Boudebouz,10,dz ALG,"AM,CM",28-187,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,2,2018-2019
Andrés Guardado,18,mx MEX,CM,31-331,90,0,0,0,1,2,0,4,0,0,0,0,0,3,1,2,33.3,2,2018-2019
Junior Firpo,20,es ESP,WB,22-003,90,0,0,0,0,2,0,6,1,0,0,0,0,5,1,0,100.0,2,2018-2019
Francis Guerrero,2,es ESP,WB,22-167,75,0,0,0,1,0,0,3,1,0,0,0,0,8,1,1,50.0,2,2018-2019
   Cristian Tello,11,es ESP,WB,27-014,15,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,,2,2018-2019
Zouhair Feddal,4,ma MAR,CB,29-236,90,0,0,0,0,2,0,1,0,3,0,0,0,10,3,1,75.0,2,2018-2019
Marc Bartra,5,es ESP,CB,27-222,90,1,0,0,2,3,0,0,1,1,0,0,0,3,4,0,100.0,2,2018-2019
Aïssa Mandi,23,dz ALG,CB,26-307,90,0,0,0,1,0,0,0,1,2,0,0,0,4,4,0,100.0,2,2018-2019
Pau López,13,es ESP,GK,23-255,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2018-2019
Diego Costa,19,es ESP,FW,29-322,90,0,0,0,2,3,1,0,0,0,0,0,0,0,0,2,0.0,2,2018-2019
Antoine Griezmann,7,fr FRA,FW,27-157,75,0,0,0,1,1,1,5,0,1,0,0,0,2,0,1,0.0,2,2018-2019
   Gelson Martins,18,pt POR,RW,23-106,15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,2,2018-2019
Thomas Lemar,11,fr FRA,"LM,LW,RM",22-286,90,0,0,0,0,0,1,4,4,0,0,0,0,8,0,0,,2,2018-2019
Saúl Ñíguez,8,es ESP,CM,23-277,90,0,0,0,1,0,0,1,0,6,0,0,0,10,3,0,100.0,2,2018-2019
Rodri,14,es ESP,CM,22-064,90,0,0,0,0,0,0,0,1,3,0,0,0,6,0,1,0.0,2,2018-2019
Ángel Correa,10,ar ARG,RM,23-169,65,0,0,0,0,2,1,3,0,1,0,0,0,3,0,0,,2,2018-2019
   Koke,6,es ESP,"CM,LM",26-229,25,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,,2,2018-2019
Lucas Hernández,21,fr FRA,LB,22-192,90,0,0,0,0,1,0,5,0,4,0,0,0,0,3,0,100.0,2,2018-2019
Diego Godín,2,uy URU,CB,32-190,90,0,0,0,2,1,0,0,4,0,0,0,0,8,3,0,100.0,2,2018-2019
Stefan Savić,15,me MNE,CB,27-229,90,0,0,0,0,0,0,0,3,1,0,0,0,5,4,0,100.0,2,2018-2019
Juanfran,20,es ESP,RB,33-228,35,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,,2,2018-2019
   Thomas Partey,5,gh GHA,RB,25-073,55,0,0,0,0,0,0,1,1,3,0,0,0,7,0,0,,2,2018-2019
Jan Oblak,13,si SVN,GK,25-230,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,2,2018-2019
Adri Embarba,11,es ESP,"FW,LM,RM",26-110,90,0,0,0,0,1,0,10,3,1,0,0,0,6,0,2,0.0,2,2018-2019
Álvaro García,18,es ESP,LM,25-302,76,1,0,0,1,0,0,2,2,0,0,0,0,7,0,0,,2,2018-2019
   Sergio Moreno,29,es ESP,FW,19-236,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,2,2018-2019
Santi Comesaña,27,es ESP,CM,21-324,68,0,0,0,0,0,0,1,1,2,0,0,0,4,2,1,66.7,2,2018-2019
   José Pozo,22,es ESP,"RM,FW,CM",22-163,22,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,,2,2018-2019
Óscar Trejo,8,ar ARG,CM,30-121,90,0,0,0,1,0,0,2,1,3,0,0,0,7,0,1,0.0,2,2018-2019
Gaël Kakuta,10,cd COD,RM,27-065,68,0,0,0,0,1,0,2,1,0,0,0,0,7,0,3,0.0,2,2018-2019
   Álvaro Medrán,4,es ESP,"CM,RM",24-163,22,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,2,2018-2019
Gorka Elustondo,6,es ESP,DM,31-160,90,0,0,0,1,1,0,0,4,1,0,0,0,3,1,3,25.0,2,2018-2019
Álex Moreno,7,es ESP,LB,25-078,90,0,0,0,2,0,1,3,2,2,0,0,0,3,0,0,,2,2018-2019
Jordi Amat,16,id IDN,CB,26-157,90,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50.0,2,2018-2019
Abdoulaye Ba,21,sn SEN,CB,27-236,90,0,0,0,1,0,0,0,2,3,0,0,0,10,0,0,,2,2018-2019
Luis Advíncula,17,pe PER,RB,28-176,90,0,0,0,2,1,0,2,0,2,0,0,0,4,0,2,0.0,2,2018-2019
Alberto García,1,es ESP,GK,33-197,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,2,2018-2019
Óscar Plano,10,es ESP,"FW,LM",27-195,90,0,0,0,0,1,1,3,0,0,0,0,0,6,0,1,0.0,2,2018-2019
Enes Ünal,9,tr TUR,FW,21-107,69,1,0,0,2,1,0,0,0,0,0,0,0,2,3,3,50.0,2,2018-2019
   Duje Čop,20,hr CRO,FW,28-205,21,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0,2,2018-2019
Toni Villa,19,es ESP,"AM,LM",23-230,86,0,0,0,0,2,0,2,2,1,0,0,0,10,0,1,0.0,2,2018-2019
   Daniele Verde,11,it ITA,FW,22-066,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,2,2018-2019
Rubén Alcaraz,14,es ESP,"LM,CM",27-116,90,0,0,0,3,2,0,6,1,3,0,0,0,4,1,1,50.0,2,2018-2019
Borja Fernández,8,es ESP,CM,37-223,63,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,,2,2018-2019
   Keko,24,es ESP,RM,26-241,27,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,,2,2018-2019
Anuar,23,ma MAR,"RM,CM",23-222,90,0,0,0,3,1,0,1,1,1,0,0,0,6,0,1,0.0,2,2018-2019
Nacho,22,es ESP,LB,29-171,90,0,0,0,1,0,0,4,1,4,0,0,0,5,0,0,,2,2018-2019
