player,shirtnumber,nationality,position,age,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,Matchweek,Season
Enes Ünal,9,tr TUR,FW,21-169,90,9,15,60.0,153,36,6,8,75.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0,3,0,0,2,10,2018-2019
Leonardo Suárez,32,ar ARG,FW,22-210,54,16,18,88.9,192,35,11,12,91.7,4,5,80.0,0,0,,0,0.0,0.0,0,2,0,0,3,10,2018-2019
   Óscar Plano,10,es ESP,FW,27-257,36,10,13,76.9,190,36,6,8,75.0,3,4,75.0,1,1,100.0,0,0.0,0.0,0,2,0,0,1,10,2018-2019
Toni Villa,19,es ESP,LM,23-292,86,19,22,86.4,280,89,13,14,92.9,5,7,71.4,1,1,100.0,0,0.2,0.4,1,2,1,0,3,10,2018-2019
   Ivi,7,es ESP,LM,24-119,4,1,3,33.3,10,0,1,2,50.0,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0,10,2018-2019
Rubén Alcaraz,14,es ESP,CM,27-178,90,63,73,86.3,1371,371,22,25,88.0,27,28,96.4,13,15,86.7,0,0.0,0.0,1,12,0,0,14,10,2018-2019
Míchel,21,es ESP,CM,30-089,90,75,88,85.2,1594,336,24,25,96.0,33,39,84.6,14,19,73.7,0,0.0,0.0,0,5,0,0,8,10,2018-2019
Antoñito,18,es ESP,"RM,RB",30-306,90,31,38,81.6,427,133,18,19,94.7,9,12,75.0,2,4,50.0,0,0.1,0.1,2,4,1,1,1,10,2018-2019
Nacho,22,es ESP,LB,29-233,90,49,66,74.2,741,241,29,31,93.5,14,21,66.7,4,7,57.1,0,0.1,0.2,2,0,5,1,11,10,2018-2019
Fernando Calero,5,es ESP,CB,23-042,90,53,57,93.0,973,386,24,26,92.3,22,23,95.7,5,5,100.0,0,0.0,0.0,1,4,1,0,5,10,2018-2019
Kiko Olivas,4,es ESP,CB,30-066,90,49,55,89.1,882,253,20,22,90.9,22,23,95.7,6,9,66.7,0,0.0,0.0,0,2,0,0,1,10,2018-2019
Javi Moyano,17,es ESP,RB,32-245,73,26,32,81.3,435,192,12,12,100.0,13,15,86.7,1,5,20.0,0,0.0,0.0,1,2,0,0,7,10,2018-2019
   Daniele Verde,11,it ITA,"RM,RB",22-128,17,10,16,62.5,126,37,7,7,100.0,1,4,25.0,1,3,33.3,0,0.0,0.0,0,1,0,0,0,10,2018-2019
Jordi Masip,1,es ESP,GK,29-296,90,27,35,77.1,660,395,4,4,100.0,18,19,94.7,5,11,45.5,0,0.0,0.0,0,0,0,0,0,10,2018-2019
Borja Iglesias,7,es ESP,FW,25-282,90,10,17,58.8,224,38,4,7,57.1,4,5,80.0,2,2,100.0,0,0.0,0.1,0,0,0,0,0,10,2018-2019
Sergio García,9,es ESP,LW,35-139,77,14,26,53.8,258,83,7,9,77.8,6,9,66.7,1,2,50.0,0,0.2,0.1,4,1,3,0,5,10,2018-2019
   Óscar Duarte,6,cr CRC,DM,29-145,13,2,3,66.7,46,17,0,1,0.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,10,2018-2019
Hernán Pérez,17,py PAR,RW,29-243,45,9,15,60.0,163,21,4,4,100.0,5,9,55.6,0,1,0.0,0,0.0,0.0,2,1,0,0,1,10,2018-2019
   Pablo Piatti,19,ar ARG,"RW,RM",29-209,45,12,13,92.3,177,91,9,10,90.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0,2,0,0,2,10,2018-2019
Sergi Darder,10,es ESP,LM,24-308,90,19,30,63.3,281,142,10,10,100.0,9,13,69.2,0,2,0.0,0,0.1,0.1,1,1,1,1,2,10,2018-2019
Marc Roca,21,es ESP,CM,21-334,90,41,46,89.1,779,278,15,17,88.2,22,23,95.7,4,5,80.0,0,0.0,0.0,0,4,0,0,5,10,2018-2019
Óscar Melendo,14,es ESP,RM,21-064,65,26,30,86.7,466,143,13,14,92.9,9,12,75.0,4,4,100.0,1,0.0,0.1,1,3,2,0,9,10,2018-2019
   Víctor Sánchez,4,es ESP,"CM,RM",31-048,25,4,10,40.0,59,27,2,3,66.7,2,4,50.0,0,2,0.0,0,0.0,0.0,0,0,0,0,1,10,2018-2019
Dídac Vilà,12,es ESP,LB,29-139,90,32,41,78.0,629,127,11,13,84.6,15,19,78.9,5,7,71.4,0,0.0,0.0,0,1,0,0,1,10,2018-2019
Mario Hermoso,22,es ESP,CB,23-130,90,49,56,87.5,1197,377,9,9,100.0,26,29,89.7,14,17,82.4,0,0.0,0.0,0,4,0,0,5,10,2018-2019
David López,15,es ESP,CB,29-017,90,59,61,96.7,1232,453,14,15,93.3,37,37,100.0,8,9,88.9,0,0.0,0.0,0,1,0,0,2,10,2018-2019
Javi López,16,es ESP,RB,32-278,90,36,50,72.0,646,249,18,20,90.0,16,22,72.7,2,5,40.0,0,0.1,0.1,1,3,1,0,3,10,2018-2019
Diego López,13,es ESP,GK,36-357,90,18,32,56.3,616,525,2,2,100.0,8,8,100.0,8,21,38.1,0,0.0,0.0,0,1,0,0,0,10,2018-2019
Anthony Lozano,19,hn HON,FW,25-185,87,7,12,58.3,74,16,3,5,60.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1,10,2018-2019
Borja García,10,es ESP,AM,27-359,90,32,46,69.6,567,169,12,15,80.0,16,22,72.7,3,4,75.0,1,0.6,0.4,4,3,3,0,7,10,2018-2019
Portu,9,es ESP,AM,26-159,57,5,7,71.4,73,20,3,3,100.0,2,3,66.7,0,0,,0,0.6,1.0,1,0,1,0,1,10,2018-2019
   Patrick Roberts,17,eng ENG,AM,21-264,33,11,12,91.7,162,33,6,6,100.0,5,5,100.0,0,0,,0,0.1,0.1,3,0,2,0,2,10,2018-2019
Pere Pons,8,es ESP,CM,25-249,90,20,30,66.7,436,182,8,14,57.1,8,10,80.0,4,4,100.0,0,0.0,0.0,1,2,2,0,3,10,2018-2019
Douglas Luiz,12,br BRA,CM,20-171,90,38,44,86.4,755,246,14,14,100.0,17,20,85.0,7,10,70.0,0,0.2,0.2,1,6,1,1,3,10,2018-2019
Aday,11,es ESP,WB,30-315,8,1,2,50.0,25,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,10,2018-2019
   Carles Planas,21,es ESP,WB,27-237,82,27,41,65.9,401,137,15,21,71.4,12,14,85.7,0,6,0.0,0,0.0,0.0,0,0,0,0,1,10,2018-2019
Pedro Porro,29,es ESP,WB,19-044,90,29,39,74.4,599,213,12,12,100.0,12,18,66.7,5,8,62.5,0,0.1,0.1,2,2,1,1,2,10,2018-2019
Juanpe,15,es ESP,CB,27-180,49,28,32,87.5,526,204,7,7,100.0,20,23,87.0,1,2,50.0,0,0.0,0.0,0,3,0,0,7,10,2018-2019
   Pedro Alcalá,5,es ESP,CB,29-222,41,13,13,100.0,246,71,5,5,100.0,6,6,100.0,2,2,100.0,0,0.0,0.0,0,0,0,0,1,10,2018-2019
Bernardo Espinosa,2,co COL,CB,29-108,90,36,40,90.0,794,226,5,7,71.4,26,27,96.3,5,5,100.0,0,0.0,0.0,0,0,0,0,1,10,2018-2019
Jonás Ramalho,4,es ESP,CB,25-139,90,36,42,85.7,721,298,10,11,90.9,23,24,95.8,3,6,50.0,0,0.0,0.0,0,1,0,0,5,10,2018-2019
Yassine Bounou,13,ma MAR,GK,27-205,90,24,34,70.6,911,791,4,4,100.0,7,7,100.0,13,23,56.5,0,0.0,0.0,0,1,0,0,0,10,2018-2019
