player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,Matchweek,Season
Ante Budimir,22,hr CRO,FW,28-053,74,14,0,0,8,6,1,14,0,0,,0,,9,44,5,0,0,0,2,0,14,4,4,2019-2020
   Abdón Prats,9,es ESP,FW,26-280,16,2,0,0,1,1,1,1,0,0,,0,,1,15,15,0,0,0,0,0,1,0,4,2019-2020
Aleix Febas,23,es ESP,FW,23-223,83,37,0,3,16,18,2,37,4,3,75.0,1,25.0,24,199,120,4,2,1,1,4,28,4,4,2019-2020
   Álex Alegría,10,es ESP,FW,26-338,7,4,0,1,1,2,0,4,0,0,,0,,1,3,1,0,0,0,0,0,3,0,4,2019-2020
Lago Junior,11,ci CIV,LM,28-256,90,49,3,7,12,30,5,49,5,2,40.0,3,60.0,33,261,99,4,5,2,5,3,37,13,4,2019-2020
Salva Sevilla,8,es ESP,CM,35-179,90,60,0,7,32,22,1,60,0,0,,0,,26,96,47,0,2,0,2,1,30,0,4,2019-2020
Iddrisu Baba,12,gh GHA,CM,23-234,90,49,5,16,27,7,2,49,1,1,100.0,0,0.0,29,161,75,1,0,0,1,2,23,1,4,2019-2020
Dani Rodríguez,14,es ESP,RM,31-099,62,26,1,5,13,8,1,26,3,2,66.7,1,33.3,18,151,64,3,1,0,3,0,20,2,4,2019-2020
   Takefusa Kubo,26,jp JPN,RM,18-101,28,8,0,0,1,7,1,8,0,0,,0,,7,53,39,2,0,1,0,0,5,2,4,2019-2020
Baba Rahman,18,gh GHA,LB,25-073,90,63,3,13,28,23,1,63,1,0,0.0,1,100.0,24,165,101,4,2,0,2,1,26,3,4,2019-2020
Antonio Raillo,21,es ESP,CB,27-340,90,32,3,22,8,2,2,32,0,0,,0,,11,52,16,0,0,0,0,0,16,0,4,2019-2020
Martin Valjent,24,sk SVK,CB,23-276,90,34,6,18,15,1,0,34,0,0,,0,,14,112,62,0,0,0,0,0,18,0,4,2019-2020
Joan Sastre Vanrell,2,es ESP,RB,22-136,90,53,3,16,17,21,0,53,1,0,0.0,1,100.0,21,184,102,2,0,0,2,0,29,10,4,2019-2020
Manolo Reina,1,es ESP,GK,34-165,90,32,28,31,1,0,0,32,0,0,,0,,13,112,90,0,0,0,0,0,8,0,4,2019-2020
Iñaki Williams,9,gh GHA,"FW,LW",25-090,84,23,3,7,7,9,1,23,1,1,100.0,0,0.0,14,63,26,3,1,1,3,1,18,8,4,2019-2020
   Larra,12,es ESP,LW,21-270,6,3,0,0,1,2,0,3,0,0,,0,,2,1,0,0,0,0,0,0,2,0,4,2019-2020
Iñigo Córdoba,11,es ESP,LW,22-184,57,22,1,5,11,7,2,22,3,2,66.7,1,33.3,15,78,40,1,1,1,4,0,15,3,4,2019-2020
   Aritz Aduriz,20,es ESP,FW,38-214,33,14,1,2,6,6,1,13,0,0,,0,,6,23,2,0,0,0,3,2,8,1,4,2019-2020
Iker Muniain,10,es ESP,RW,26-268,90,43,1,6,20,17,5,43,2,0,0.0,2,100.0,29,140,72,3,2,1,0,0,32,5,4,2019-2020
Raúl García,22,es ESP,AM,33-064,90,49,3,8,23,18,5,49,0,0,,0,,24,47,18,0,0,0,1,2,35,5,4,2019-2020
Dani García,14,es ESP,DM,29-112,90,40,0,10,23,7,0,40,0,0,,0,,19,108,71,0,1,0,0,0,24,1,4,2019-2020
Unai López,8,es ESP,DM,23-318,51,36,1,9,20,7,0,36,0,0,,0,,17,54,21,0,0,0,2,0,22,0,4,2019-2020
   Beñat Etxebarria,7,es ESP,DM,32-206,39,23,1,2,12,9,1,23,0,0,,0,,10,41,6,1,0,1,0,0,11,0,4,2019-2020
Yuri Berchiche,17,es ESP,LB,29-215,90,50,5,18,24,8,2,50,0,0,,0,,25,170,109,3,1,0,0,0,33,2,4,2019-2020
Iñigo Martínez,4,es ESP,CB,28-119,90,44,7,13,30,1,0,44,0,0,,0,,21,124,91,0,0,0,0,0,26,0,4,2019-2020
Yeray Álvarez,5,es ESP,CB,24-232,90,63,7,23,37,3,0,63,0,0,,0,,25,146,96,1,1,0,0,0,29,0,4,2019-2020
Ander Capa,21,es ESP,RB,27-217,90,46,5,15,19,12,0,46,1,1,100.0,0,0.0,20,175,102,4,4,1,0,1,21,2,4,2019-2020
Unai Simón,1,es ESP,GK,22-094,90,29,26,29,0,0,0,29,0,0,,0,,9,71,39,0,0,0,0,0,7,0,4,2019-2020
Karim Benzema,9,fr FRA,FW,31-269,82,53,0,1,22,30,7,53,2,1,50.0,1,50.0,35,125,53,2,1,1,3,1,42,14,4,2019-2020
