player,shirtnumber,nationality,position,age,minutes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,Matchweek,Season
Loren Morón,16,es ESP,FW,25-278,90,12,12,0,0,0,1,2,0,0,0,0,0,5,0,2,8,2019-2020
Borja Iglesias,9,es ESP,FW,26-260,90,19,17,2,0,0,0,0,0,0,0,0,0,10,0,1,8,2019-2020
Álex Moreno,15,es ESP,"LM,LB",26-118,90,29,25,4,0,0,0,3,4,0,0,0,0,22,0,1,8,2019-2020
Andrés Guardado,18,mx MEX,CM,33-006,89,39,36,2,2,0,1,1,0,0,0,0,0,28,1,0,8,2019-2020
   Diego Lainez,20,mx MEX,RM,19-117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2019-2020
Sergio Canales,10,es ESP,CM,28-230,90,77,70,7,6,0,0,4,1,0,0,0,0,65,0,1,8,2019-2020
Joaquín,17,es ESP,RM,38-075,83,34,27,7,2,0,1,5,1,4,1,1,0,26,0,3,8,2019-2020
   Cristian Tello,11,es ESP,"RM,LM",28-054,7,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,8,2019-2020
Alfonso Pedraza,6,es ESP,LB,23-178,56,37,28,8,2,0,0,1,6,0,0,0,0,28,1,0,8,2019-2020
   Nabil Fekir,8,fr FRA,"LB,CM",26-078,34,9,8,0,0,0,0,0,0,0,0,0,0,4,1,1,8,2019-2020
Marc Bartra,5,es ESP,CB,28-262,90,76,72,4,4,0,2,0,0,0,0,0,0,63,0,0,8,2019-2020
Aïssa Mandi,23,dz ALG,CB,27-347,90,71,66,5,4,0,2,1,1,0,0,0,0,61,0,0,8,2019-2020
Emerson,22,br BRA,RB,20-263,90,66,44,22,2,0,0,0,20,0,0,0,0,50,0,2,8,2019-2020
Joel Robles,1,es ESP,GK,29-109,90,41,29,11,3,0,0,0,0,0,0,0,0,28,1,0,8,2019-2020
Kiké,17,es ESP,FW,29-313,86,22,20,2,0,0,0,1,0,0,0,0,0,14,0,1,8,2019-2020
