Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Matchweek,Season
Rubén Blanco,es ESP,25-127,90,2,1,1,50.0,0.9,6,14,42.9,24,5,37.5,31.5,7,71.4,50.4,3,0,0.0,0,18.0,11,2020-2021
Rui Silva,pt POR,26-296,90,7,3,4,57.1,3.8,5,21,23.8,22,3,68.2,44.5,9,66.7,46.2,13,1,7.7,0,10.3,11,2020-2021
Álex Remiro,es ESP,25-250,90,2,1,1,100.0,1.2,8,18,44.4,33,4,42.4,36.2,6,66.7,53.8,14,0,0.0,0,4.5,11,2020-2021
Sergio Asenjo,es ESP,31-154,90,4,1,3,100.0,1.5,1,12,8.3,28,7,39.3,33.3,1,100.0,67.0,14,1,7.1,0,3.5,11,2020-2021
Joel Robles,es ESP,30-166,90,6,2,3,83.3,3.3,11,24,45.8,40,3,45.0,37.7,9,66.7,47.9,10,0,0.0,3,26.7,11,2020-2021
Marko Dmitrović,rs SRB,28-311,90,3,0,3,100.0,0.8,6,30,20.0,34,0,76.5,51.1,4,100.0,74.0,11,0,0.0,0,14.3,11,2020-2021
Unai Simón,es ESP,23-176,90,4,2,2,50.0,1.2,7,15,46.7,17,4,47.1,38.6,7,100.0,64.3,15,0,0.0,0,10.5,12,2020-2021
Rubén Blanco,es ESP,25-132,90,0,0,0,,0.0,5,21,23.8,23,4,43.5,35.4,14,78.6,49.1,15,0,0.0,2,24.0,12,2020-2021
Aitor Fernández,es ESP,29-216,90,0,0,0,,0.0,2,5,40.0,25,5,20.0,29.3,8,0.0,12.9,17,0,0.0,0,9.3,12,2020-2021
David Soria,es ESP,27-245,90,8,3,5,62.5,2.0,9,27,33.3,24,0,95.8,58.0,6,66.7,48.8,11,1,9.1,5,22.0,12,2020-2021
Yassine Bounou,ma MAR,29-244,90,2,1,2,50.0,0.3,2,8,25.0,23,7,13.0,28.0,7,71.4,45.0,5,1,20.0,1,13.3,12,2020-2021
Thibaut Courtois,be BEL,28-208,90,2,0,2,100.0,0.1,3,18,16.7,30,7,46.7,38.2,6,66.7,49.2,17,0,0.0,0,,12,2020-2021
Jan Oblak,si SVN,27-333,90,3,0,3,100.0,0.3,12,26,46.2,22,5,63.6,45.9,15,80.0,49.0,11,0,0.0,0,,12,2020-2021
Jordi Masip,es ESP,31-337,90,4,2,2,50.0,0.8,5,12,41.7,23,5,26.1,34.1,10,60.0,48.4,12,1,8.3,1,13.3,12,2020-2021
Jeremías Ledesma,ar ARG,27-296,90,8,1,8,87.5,1.8,10,25,40.0,14,1,85.7,55.3,13,100.0,64.1,16,2,12.5,0,5.2,12,2020-2021
Marc-André ter Stegen,de GER,28-219,90,3,2,1,33.3,2.7,0,0,,19,8,0.0,21.6,4,0.0,24.3,8,1,12.5,2,13.5,12,2020-2021
Rui Silva,pt POR,26-303,90,7,3,4,57.1,1.8,6,16,37.5,33,4,39.4,36.4,6,50.0,41.2,17,0,0.0,1,22.5,12,2020-2021
Álvaro Fernández,es ESP,22-237,90,6,3,3,50.0,2.3,7,17,41.2,26,4,53.8,40.7,7,42.9,39.4,24,0,0.0,0,8.0,12,2020-2021
Sergio Herrera,es ESP,27-184,90,5,2,3,60.0,1.5,13,31,41.9,35,2,68.6,44.4,7,100.0,59.4,11,0,0.0,5,19.4,12,2020-2021
Joel Robles,es ESP,30-172,90,0,0,0,,0.0,7,26,26.9,23,4,69.6,44.4,11,90.9,58.7,18,0,0.0,4,24.0,12,2020-2021
