player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,Matchweek,Season
Vedat Muriqi,7,xk KVX,FW,29-155,90,1,1,0,0,2,2,0,0,34,0,0,1,0.3,0.3,0.2,3,1,16,23,69.6,4,20,0,0,0,7,2023-2024
Abdón Prats,9,es ESP,FW,30-293,61,1,0,0,0,1,1,0,0,15,0,0,0,0.1,0.1,0.0,1,0,5,12,41.7,1,7,0,1,1,7,2023-2024
   Sergi Darder,10,es ESP,CM,29-278,29,0,0,0,0,0,0,0,0,16,1,2,1,0.0,0.0,0.1,2,0,8,13,61.5,2,12,2,3,2,7,2023-2024
Dani Rodríguez,14,es ESP,CM,35-112,84,0,0,0,0,2,0,1,0,45,4,0,0,0.1,0.1,0.1,4,0,21,32,65.6,2,19,3,1,0,7,2023-2024
   Manu Morlanes,8,es ESP,CM,24-257,6,0,0,0,0,0,0,0,0,6,0,0,1,0.0,0.0,0.0,1,0,4,5,80.0,0,1,0,1,1,7,2023-2024
Samu Costa,12,pt POR,CM,22-303,90,0,0,0,0,0,0,0,0,32,4,3,1,0.0,0.0,0.0,1,0,16,19,84.2,2,10,0,1,0,7,2023-2024
Antonio Sánchez,18,es ESP,CM,26-268,61,0,1,0,0,1,1,0,0,32,5,0,0,0.0,0.0,0.2,3,1,16,24,66.7,2,16,3,1,0,7,2023-2024
   Cyle Larin,17,ca CAN,FW,28-162,29,0,0,0,0,3,1,0,0,18,1,0,1,0.3,0.3,0.0,0,0,3,10,30.0,0,8,1,1,0,7,2023-2024
Pablo Maffeo,15,es ESP,LB,26-076,34,0,0,0,0,0,0,0,1,19,2,0,0,0.0,0.0,0.0,0,0,9,16,56.3,4,10,0,2,2,7,2023-2024
   Jaume Costa,11,es ESP,"LB,RB",35-192,56,0,0,0,0,0,0,0,0,24,2,2,1,0.0,0.0,0.0,0,0,11,18,61.1,1,9,1,1,1,7,2023-2024
