player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,Matchweek,Season
Sergi Enrich,9,es ESP,FW,30-199,67,0,0,0,0,0,0,0,0,27,1,0,0,0.0,0.0,0.1,2,0,13,21,61.9,1,12,1,2,1,1,2020-2021
   Recio,18,es ESP,CM,29-245,23,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,4,8,50.0,1,2,0,0,0,1,2020-2021
Kiké,17,es ESP,FW,30-292,90,0,0,0,0,1,0,0,0,56,2,0,4,0.1,0.1,0.0,4,0,17,39,43.6,0,25,1,1,0,1,2020-2021
Takashi Inui,14,jp JPN,LM,32-102,60,0,0,0,0,1,0,0,0,28,1,0,0,0.0,0.0,0.0,0,0,8,18,44.4,1,19,3,5,2,1,2020-2021
   Damian Kądzior,19,pl POL,"LW,RW,LM",28-088,30,0,0,0,0,1,0,0,0,15,0,0,0,0.1,0.1,0.0,0,0,7,12,58.3,2,8,1,0,0,1,2020-2021
Edu Expósito,10,es ESP,CM,24-042,90,0,0,0,0,2,0,0,0,34,1,0,1,0.1,0.1,0.0,0,0,13,22,59.1,4,15,1,1,0,1,2020-2021
Papakouli Diop,8,sn SEN,CM,34-177,86,0,0,0,0,0,0,2,1,37,3,1,2,0.0,0.0,0.0,1,0,17,29,58.6,4,14,1,1,1,1,2020-2021
Pedro León,21,es ESP,"RM,RW",33-293,83,0,0,0,0,2,1,0,0,31,0,0,0,0.1,0.1,0.1,2,0,9,24,37.5,2,15,1,0,0,1,2020-2021
   Rafa Soares,11,pt POR,LW,25-126,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,1,2020-2021
Pedro Bigas,3,es ESP,LB,29-363,90,0,0,0,0,1,0,1,0,70,1,0,1,0.0,0.0,0.0,0,0,37,63,58.7,6,9,0,0,0,1,2020-2021
Paulo Oliveira,4,pt POR,CB,28-248,90,0,0,0,0,0,0,0,0,50,2,3,0,0.0,0.0,0.0,0,0,18,43,41.9,1,14,0,0,0,1,2020-2021
Sergio Álvarez,6,es ESP,CB,28-233,90,0,0,0,0,0,0,1,0,47,2,1,0,0.0,0.0,0.0,2,0,24,38,63.2,3,14,0,0,0,1,2020-2021
Rober Correa,20,es ESP,RB,27-358,90,0,0,0,0,0,0,0,0,53,2,0,0,0.0,0.0,0.0,1,0,23,44,52.3,1,15,2,1,1,1,2020-2021
Marko Dmitrović,1,rs SRB,GK,28-232,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,20,32,62.5,0,11,0,0,0,1,2020-2021
Iago Aspas,10,es ESP,FW,33-042,90,0,0,0,0,0,0,0,0,42,0,0,1,0.0,0.0,0.0,1,0,23,33,69.7,4,24,1,3,1,1,2020-2021
Nolito,9,es ESP,LW,33-333,90,0,0,0,0,1,1,1,0,47,1,1,4,0.1,0.1,0.0,1,0,20,38,52.6,9,18,1,0,0,1,2020-2021
Emre Mor,11,tr TUR,RW,23-050,85,0,0,0,0,1,1,0,0,30,1,0,0,0.1,0.1,0.0,4,0,16,21,76.2,2,25,3,6,5,1,2020-2021
   Santi Mina,22,es ESP,RW,24-280,5,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,2,0,0,0,1,2020-2021
Renato Tapia,14,pe PER,LM,25-046,90,0,0,0,0,0,0,0,0,43,1,3,0,0.0,0.0,0.0,0,0,21,34,61.8,4,9,0,1,1,1,2020-2021
Okay Yokuşlu,5,tr TUR,CM,26-187,90,0,0,0,0,0,0,1,0,44,2,1,0,0.0,0.0,0.0,0,0,22,31,71.0,2,15,1,3,3,1,2020-2021
Brais Méndez,23,es ESP,RM,23-249,76,0,0,0,0,1,0,0,0,40,1,2,0,0.2,0.2,0.2,2,0,14,26,53.8,3,24,2,1,0,1,2020-2021
   Miguel Baeza,27,es ESP,RM,20-169,14,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,3,0,0,0,1,2020-2021
Lucas Olaza,15,uy URU,LB,26-053,90,0,0,0,0,0,0,1,0,70,1,1,1,0.0,0.0,0.1,1,0,30,57,52.6,2,19,2,0,0,1,2020-2021
Néstor Araujo,4,mx MEX,CB,29-014,90,0,0,0,0,1,0,0,0,38,1,2,0,0.0,0.0,0.0,1,0,15,28,53.6,1,15,0,0,0,1,2020-2021
Joseph Aidoo,18,gh GHA,CB,24-349,90,0,0,0,0,1,0,0,0,40,3,1,0,0.2,0.2,0.2,1,0,16,29,55.2,2,15,0,0,0,1,2020-2021
Hugo Mallo,2,es ESP,RB,29-082,90,0,0,0,0,1,1,0,0,74,4,2,2,0.0,0.0,0.1,0,0,33,57,57.9,5,20,0,1,0,1,2020-2021
Iván Villar,1,es ESP,GK,23-065,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,14,32,43.8,0,13,0,0,0,1,2020-2021
Roberto Soldado,9,es ESP,FW,35-108,79,0,0,0,0,0,0,0,0,21,0,0,1,0.0,0.0,0.0,0,0,13,17,76.5,2,10,1,0,0,1,2020-2021
   Ramon Azeez,12,ng NGA,"FW,CM",27-275,11,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,7,7,100.0,1,3,0,0,0,1,2020-2021
Darwin Machís,11,ve VEN,LW,27-218,61,0,0,0,0,1,0,0,0,20,0,1,0,0.0,0.0,0.0,2,0,9,16,56.3,0,15,2,3,3,1,2020-2021
   Fede Vico,14,es ESP,"LW,RM",26-070,29,0,0,0,0,0,0,0,0,18,0,2,0,0.0,0.0,0.0,0,0,10,13,76.9,2,9,1,1,0,1,2020-2021
Antonio Puertas,10,es ESP,"RW,FW",28-204,90,0,0,0,0,0,0,0,0,41,0,1,1,0.0,0.0,0.0,0,0,23,32,71.9,1,24,3,2,1,1,2020-2021
Yangel Herrera,21,ve VEN,AM,22-242,79,1,0,0,0,2,1,1,0,42,1,1,2,0.3,0.3,0.0,1,0,21,30,70.0,4,14,0,1,1,1,2020-2021
   Kenedy,24,br BRA,"AM,LM",24-217,11,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,4,5,80.0,1,3,0,2,1,1,2020-2021
Ángel Montoro,19,es ESP,DM,32-079,61,0,1,0,0,0,0,0,0,36,0,0,1,0.0,0.0,0.3,2,1,20,31,64.5,2,15,0,0,0,1,2020-2021
   Maxime Gonalons,4,fr FRA,"DM,CM",31-186,29,0,0,0,0,0,0,1,0,17,1,0,0,0.0,0.0,0.0,0,0,9,11,81.8,0,7,0,0,0,1,2020-2021
Luis Milla,5,es ESP,DM,25-341,88,1,0,0,0,1,1,0,0,41,0,3,0,0.0,0.0,0.0,1,1,26,35,74.3,2,16,2,2,2,1,2020-2021
   Víctor Díaz,16,es ESP,CB,32-092,2,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0,1,2020-2021
Carlos Neva,15,es ESP,LB,24-092,90,0,0,0,0,0,0,0,0,50,0,3,0,0.0,0.0,0.0,1,1,28,43,65.1,2,17,1,1,1,1,2020-2021
Domingos Duarte,22,pt POR,CB,25-186,90,0,0,0,0,0,0,0,0,33,0,1,0,0.0,0.0,0.0,0,0,16,26,61.5,2,12,0,0,0,1,2020-2021
Germán Sánchez,6,es ESP,CB,33-275,90,0,0,0,0,0,0,1,0,46,0,2,0,0.0,0.0,0.0,0,0,17,34,50.0,0,16,0,0,0,1,2020-2021
Dimitri Foulquier,2,fr FRA,RB,27-173,90,0,0,0,0,0,0,0,0,40,2,1,0,0.0,0.0,0.0,0,0,21,29,72.4,3,9,0,0,0,1,2020-2021
Rui Silva,1,pt POR,GK,26-218,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,23,38,60.5,0,19,0,0,0,1,2020-2021
Raúl García,22,es ESP,FW,34-063,72,0,0,0,0,2,0,0,0,31,0,0,2,0.1,0.1,0.0,1,0,9,24,37.5,3,11,1,0,0,1,2020-2021
   Asier Villalibre,20,es ESP,FW,22-348,18,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,1,2020-2021
Jon Morcillo,32,es ESP,LW,21-363,90,0,0,0,0,2,0,1,0,44,0,0,0,0.2,0.2,0.1,3,0,19,36,52.8,3,35,5,3,3,1,2020-2021
Óscar de Marcos,18,es ESP,"RW,RB",31-151,90,0,0,0,0,1,1,0,0,53,1,0,1,0.0,0.0,0.0,2,0,32,48,66.7,3,33,2,0,0,1,2020-2021
Iker Muniain,10,es ESP,AM,27-268,72,0,0,0,0,1,1,0,0,29,0,0,0,0.1,0.1,0.2,3,0,23,28,82.1,2,17,3,0,0,1,2020-2021
   Oihan Sancet,16,es ESP,AM,20-140,18,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,5,0,0,0,1,2020-2021
Mikel Vesga,6,es ESP,DM,27-114,55,0,0,0,0,0,0,0,0,32,1,0,0,0.0,0.0,0.0,0,0,19,29,65.5,1,16,1,0,0,1,2020-2021
   Unai López,8,es ESP,DM,24-318,35,0,0,0,0,0,0,1,0,39,1,0,1,0.0,0.0,0.0,2,0,30,35,85.7,7,25,1,1,0,1,2020-2021
Dani García,14,es ESP,DM,30-111,79,0,0,0,0,0,0,0,0,60,1,1,0,0.0,0.0,0.1,2,0,41,56,73.2,3,30,0,0,0,1,2020-2021
   Unai Vencedor Paris,27,es ESP,DM,19-302,11,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,18,21,85.7,4,16,0,0,0,1,2020-2021
Mikel Balenziaga,24,es ESP,LB,32-196,90,0,0,0,0,0,0,0,0,63,3,0,1,0.0,0.0,0.0,1,0,40,54,74.1,4,27,0,0,0,1,2020-2021
Iñigo Martínez,4,es ESP,CB,29-118,90,0,0,0,0,0,0,1,0,62,1,2,0,0.0,0.0,0.0,1,0,47,56,83.9,6,39,0,0,0,1,2020-2021
Yeray Álvarez,5,es ESP,CB,25-232,90,0,0,0,0,0,0,1,0,80,0,4,0,0.0,0.0,0.0,0,0,63,71,88.7,4,50,1,0,0,1,2020-2021
Ander Capa,21,es ESP,RB,28-217,55,0,0,0,0,0,0,0,0,31,1,0,0,0.0,0.0,0.0,1,0,21,29,72.4,2,13,2,1,1,1,2020-2021
   Iñaki Williams,9,gh GHA,"RW,RB",26-089,35,0,0,0,0,3,0,0,0,11,1,0,0,0.2,0.2,0.0,0,0,5,6,83.3,0,7,1,0,0,1,2020-2021
Unai Simón,1,es ESP,GK,23-093,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,33,44,75.0,0,32,0,0,0,1,2020-2021
Álvaro Negredo,18,es ESP,FW,35-023,77,0,0,0,0,0,0,0,0,20,0,0,1,0.0,0.0,0.0,0,0,12,19,63.2,3,14,0,0,0,1,2020-2021
   Anthony Lozano,9,hn HON,FW,27-140,13,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,3,0,0,0,1,2020-2021
Jorge Pombo,11,es ESP,LW,26-203,90,0,0,0,0,4,1,0,0,54,3,0,1,0.2,0.2,0.2,3,0,20,31,64.5,5,29,6,7,4,1,2020-2021
Salvi,7,es ESP,RW,29-166,76,0,0,0,0,2,1,0,0,43,1,1,1,0.2,0.2,0.1,4,0,24,33,72.7,3,19,1,1,1,1,2020-2021
   Iván Alejo,14,es ESP,RW,25-215,14,0,0,0,0,0,0,1,0,9,0,0,0,0.0,0.0,0.0,2,0,5,7,71.4,0,9,3,3,2,1,2020-2021
Yann Bodiger,12,fr FRA,AM,25-216,45,0,0,0,0,0,0,0,0,23,1,0,1,0.0,0.0,0.1,1,0,8,17,47.1,0,10,0,0,0,1,2020-2021
   Filip Malbašić,24,rs SRB,AM,27-299,45,0,0,0,0,0,0,1,0,11,0,0,0,0.0,0.0,0.0,1,0,4,8,50.0,2,10,3,2,2,1,2020-2021
José Mari,6,es ESP,DM,32-281,63,0,0,0,0,1,0,0,0,47,3,1,0,0.0,0.0,0.0,1,0,23,35,65.7,0,12,0,2,0,1,2020-2021
   Álex Fernández,8,es ESP,DM,27-333,27,0,0,0,0,1,0,0,0,23,0,1,0,0.0,0.0,0.1,2,0,18,21,85.7,3,12,0,0,0,1,2020-2021
Sergio González,23,es ESP,"DM,CB",23-121,90,0,0,0,0,1,0,0,0,38,1,2,0,0.1,0.1,0.0,0,0,20,30,66.7,0,18,0,0,0,1,2020-2021
Alfonso Espino,22,uy URU,LB,28-251,90,0,0,0,0,0,0,0,0,44,1,2,0,0.0,0.0,0.0,4,0,28,36,77.8,4,18,0,0,0,1,2020-2021
Cala,16,es ESP,CB,30-291,90,0,0,0,0,1,0,0,0,48,0,3,0,0.1,0.1,0.0,1,0,24,39,61.5,2,22,0,0,0,1,2020-2021
Marcos Mauro López Gutiérrez,4,ar ARG,CB,29-247,63,0,0,0,0,0,0,0,0,27,1,0,0,0.0,0.0,0.0,0,0,14,20,70.0,1,11,0,0,0,1,2020-2021
   Jens Jønsson,2,dk DEN,DM,27-246,27,0,0,0,0,1,0,0,0,10,2,0,0,0.1,0.1,0.0,0,0,4,7,57.1,0,5,0,0,0,1,2020-2021
Isaac Carcelen,20,es ESP,RB,27-142,90,0,0,0,0,1,1,0,0,73,5,1,0,0.0,0.0,0.1,3,0,48,64,75.0,11,36,1,2,2,1,2020-2021
David Gil,13,es ESP,GK,26-245,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,12,38,31.6,0,19,0,0,0,1,2020-2021
Adrián López,20,es ESP,FW,32-248,74,1,0,0,0,1,1,0,0,45,1,0,0,0.4,0.4,0.0,2,0,18,33,54.5,1,22,3,7,2,1,2020-2021
   Marc Cardona,17,es ESP,FW,25-066,16,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,0,0,5,7,71.4,1,4,0,0,0,1,2020-2021
Rubén García,14,es ESP,"FW,LM",27-060,84,1,0,0,0,1,1,0,0,37,1,0,0,0.2,0.2,0.0,0,0,16,29,55.2,4,17,2,2,0,1,2020-2021
   Kike Barja,11,es ESP,LM,23-164,6,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,6,0,3,1,1,2020-2021
Iñigo Pérez,21,es ESP,LM,32-238,70,0,0,0,0,0,0,0,0,33,0,0,1,0.0,0.0,0.0,2,0,22,30,73.3,3,13,1,0,0,1,2020-2021
   Lucas Torró,24,es ESP,"FW,LM",26-055,20,0,1,0,0,0,0,0,0,12,0,0,1,0.0,0.0,0.2,1,1,5,10,50.0,1,2,0,0,0,1,2020-2021
Oier Sanjurjo,6,es ESP,CM,34-110,90,0,1,0,0,0,0,0,0,52,2,1,1,0.0,0.0,0.4,2,2,28,40,70.0,5,11,0,1,0,1,2020-2021
Jon Moncayola,27,es ESP,CM,22-122,90,0,0,0,0,1,0,0,0,39,3,1,1,0.0,0.0,0.1,1,0,19,28,67.9,2,15,0,1,0,1,2020-2021
Roberto Torres,10,es ESP,RM,31-189,90,0,0,0,0,1,0,0,0,26,0,0,1,0.0,0.0,0.0,0,0,10,21,47.6,1,6,1,0,0,1,2020-2021
Juan Cruz Armada,3,es ESP,LB,28-046,90,0,0,0,0,0,0,1,0,47,1,1,0,0.0,0.0,0.0,0,0,28,42,66.7,1,16,0,1,0,1,2020-2021
David García,5,es ESP,CB,26-211,90,0,0,0,0,1,1,1,0,50,1,1,0,0.1,0.1,0.0,0,0,16,39,41.0,2,11,0,0,0,1,2020-2021
Aridane Hernández,23,es ESP,CB,31-173,90,0,0,0,0,0,0,0,0,39,0,1,1,0.0,0.0,0.1,1,0,22,32,68.8,3,14,0,0,0,1,2020-2021
Nacho Vidal,2,es ESP,RB,25-232,90,0,0,0,0,1,1,0,0,38,4,1,1,0.1,0.1,0.0,1,1,18,27,66.7,1,10,0,2,1,1,2020-2021
Sergio Herrera,1,es ESP,GK,27-099,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,1,0,16,33,48.5,0,15,0,0,0,1,2020-2021
Lucas Pérez,7,es ESP,FW,32-003,64,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.3,2,0,9,16,56.3,3,13,0,1,1,1,2020-2021
   Javi López,26,es ESP,FW,18-256,26,0,0,0,0,0,0,1,0,13,2,0,0,0.0,0.0,0.0,1,0,5,9,55.6,0,3,0,1,0,1,2020-2021
Joselu,9,es ESP,FW,30-170,90,0,0,0,0,1,0,0,0,38,0,0,1,0.0,0.0,0.0,3,0,16,29,55.2,9,27,1,4,3,1,2020-2021
Luis Rioja,11,es ESP,LW,26-333,65,0,0,0,0,0,0,1,0,42,1,1,2,0.0,0.0,0.0,0,0,19,31,61.3,0,20,2,4,0,1,2020-2021
   Deyverson,14,br BRA,LW,29-128,25,0,0,0,0,0,0,0,0,12,0,0,1,0.0,0.0,0.0,1,0,3,8,37.5,0,7,1,1,0,1,2020-2021
Édgar Méndez,16,es ESP,RW,30-255,88,0,0,0,0,0,0,0,0,31,2,0,2,0.0,0.0,0.0,0,0,14,23,60.9,1,12,2,1,0,1,2020-2021
   Martin Agirregabiria,21,es ESP,RW,24-126,2,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,0,0,0,0,1,2020-2021
Pere Pons,20,es ESP,CM,27-206,89,0,0,0,0,0,0,0,0,28,1,1,0,0.0,0.0,0.0,0,0,16,22,72.7,2,16,0,1,0,1,2020-2021
   Sergi García,27,es ESP,CM,21-152,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,1,2020-2021
Tomás Pina Isla,8,es ESP,CM,32-335,90,0,0,0,0,0,0,1,0,30,1,0,2,0.0,0.0,0.0,0,0,18,22,81.8,2,17,0,1,0,1,2020-2021
Rodrigo Battaglia,6,ar ARG,DM,29-063,90,0,0,0,0,2,1,0,0,37,0,1,1,0.2,0.2,0.0,1,0,28,31,90.3,1,22,2,2,1,1,2020-2021
Rubén Duarte,3,es ESP,CB,24-331,90,0,0,0,0,1,0,0,0,67,4,9,1,0.2,0.2,0.1,2,0,35,52,67.3,2,37,0,0,0,1,2020-2021
Rodrigo Ely,4,br BRA,CB,26-315,90,0,0,0,0,1,0,0,0,46,0,1,0,0.1,0.1,0.1,1,0,34,42,81.0,2,22,0,0,0,1,2020-2021
Víctor Laguardia,5,es ESP,CB,30-313,90,0,0,0,0,2,1,0,0,40,1,1,0,0.8,0.8,0.0,0,0,26,34,76.5,2,23,0,0,0,1,2020-2021
Fernando Pacheco,1,es ESP,GK,28-118,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,25,31,80.6,0,22,0,0,0,1,2020-2021
Borja Iglesias,9,es ESP,FW,27-240,90,0,0,0,0,0,0,1,0,16,0,0,0,0.0,0.0,0.0,1,0,9,13,69.2,0,8,1,0,0,1,2020-2021
Sergio Canales,10,es ESP,LW,29-210,90,0,1,0,0,2,0,0,0,57,0,1,0,0.1,0.1,0.1,5,1,33,47,70.2,2,30,2,3,2,1,2020-2021
Nabil Fekir,8,fr FRA,RW,27-057,89,0,0,0,0,1,0,0,0,31,0,0,0,0.0,0.0,0.0,2,0,21,26,80.8,2,24,3,1,1,1,2020-2021
   Diego Lainez,20,mx MEX,RW,20-096,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,1,1,2,2,100.0,1,2,0,0,0,1,2020-2021
Joaquín,17,es ESP,AM,39-054,66,0,0,0,0,1,1,0,0,34,0,0,1,0.1,0.1,0.0,2,0,20,29,69.0,4,15,0,1,1,1,2020-2021
   Aitor Ruibal,24,es ESP,AM,24-175,24,0,0,0,0,1,1,0,0,15,0,0,0,0.0,0.0,0.0,0,0,10,10,100.0,2,6,0,1,0,1,2020-2021
William Carvalho,14,pt POR,DM,28-159,81,0,0,0,0,0,0,0,0,46,0,0,0,0.0,0.0,0.0,0,0,39,45,86.7,4,19,0,0,0,1,2020-2021
   Cristian Tello,11,es ESP,DM,29-033,9,1,0,0,0,2,1,0,0,7,0,1,0,0.1,0.1,0.0,0,0,4,4,100.0,0,1,0,0,0,1,2020-2021
Guido Rodríguez,21,ar ARG,DM,26-154,90,0,0,0,0,1,0,0,0,52,6,0,3,0.0,0.0,0.0,1,0,32,40,80.0,1,22,0,2,2,1,2020-2021
Álex Moreno,15,es ESP,LB,27-097,90,0,0,0,0,2,0,1,0,54,2,1,0,0.1,0.1,0.0,0,0,37,48,77.1,2,25,1,0,0,1,2020-2021
Marc Bartra,5,es ESP,CB,29-242,90,0,0,0,0,1,1,0,0,65,0,1,1,0.1,0.1,0.0,0,0,50,58,86.2,4,33,0,0,0,1,2020-2021
Aïssa Mandi,23,dz ALG,CB,28-327,90,0,0,0,0,0,0,0,0,62,2,0,2,0.0,0.0,0.0,0,0,42,57,73.7,3,25,0,0,0,1,2020-2021
Emerson,22,br BRA,RB,21-243,90,0,0,0,0,0,0,1,0,73,5,3,2,0.0,0.0,0.2,7,0,50,60,83.3,5,31,2,1,1,1,2020-2021
Claudio Bravo,25,cl CHI,GK,37-153,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,17,31,54.8,0,14,0,0,0,1,2020-2021
Sergi Guardiola,7,es ESP,FW,29-107,90,0,1,0,0,2,0,0,0,28,0,0,0,0.2,0.2,0.2,3,2,9,20,45.0,1,17,2,3,2,1,2020-2021
Waldo Rubio,23,es ESP,LW,25-027,79,0,0,0,0,2,0,1,0,24,1,0,3,0.1,0.1,0.0,1,0,11,15,73.3,1,15,2,2,0,1,2020-2021
   Shon Weissman,9,il ISR,FW,24-212,11,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,1,2020-2021
Óscar Plano,10,es ESP,RW,29-215,69,0,0,0,0,1,0,0,0,15,1,0,2,0.0,0.0,0.0,0,0,7,9,77.8,0,2,0,0,0,1,2020-2021
   Pablo Hervías,11,es ESP,"RM,RW",27-189,21,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,6,9,66.7,2,9,2,1,0,1,2020-2021
Fabián Orellana,12,cl CHI,"AM,LM",34-230,90,0,0,0,0,1,1,0,0,30,1,0,1,0.3,0.3,0.1,4,0,14,20,70.0,3,17,3,3,2,1,2020-2021
Fede San Emeterio,20,es ESP,"DM,CM",23-181,90,0,0,0,0,0,0,0,0,28,2,3,1,0.0,0.0,0.0,0,0,11,17,64.7,0,15,0,0,0,1,2020-2021
Míchel,21,es ESP,DM,32-046,69,1,0,0,0,1,1,1,0,34,1,0,0,0.2,0.2,0.0,1,0,18,29,62.1,2,12,0,1,0,1,2020-2021
   Kike Pérez,8,es ESP,"CM,DM",23-212,21,0,0,0,0,0,0,0,0,13,2,0,0,0.0,0.0,0.0,0,0,4,9,44.4,0,5,0,1,0,1,2020-2021
Nacho,22,es ESP,LB,31-190,90,0,0,0,0,0,0,1,0,53,2,2,3,0.0,0.0,0.5,3,0,29,39,74.4,5,20,2,0,0,1,2020-2021
Bruno González,6,es ESP,CB,30-112,90,0,0,0,0,1,0,0,0,39,1,1,1,0.0,0.0,0.0,1,0,23,31,74.2,0,16,0,0,0,1,2020-2021
Joaquín Fernández,24,es ESP,CB,24-105,90,0,0,0,0,0,0,1,0,37,1,2,0,0.0,0.0,0.0,0,0,20,26,76.9,0,17,0,0,0,1,2020-2021
Javi Moyano,17,es ESP,RB,34-203,90,0,0,0,0,0,0,0,0,37,0,0,2,0.0,0.0,0.0,0,0,23,33,69.7,1,10,0,0,0,1,2020-2021
Jordi Masip,1,es ESP,GK,31-254,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,22,42,52.4,0,17,0,0,0,1,2020-2021
Alexander Isak,19,se SWE,FW,20-358,77,0,0,0,0,1,0,0,0,24,0,0,0,0.1,0.1,0.0,2,0,13,20,65.0,2,11,0,0,0,1,2020-2021
   Jon Bautista,25,es ESP,FW,25-072,13,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,0,3,0.0,0,3,0,0,0,1,2020-2021
Ander Barrenetxea,22,es ESP,LM,18-261,77,0,0,0,0,1,0,0,0,26,1,0,1,0.0,0.0,0.1,1,0,14,16,87.5,3,21,2,3,2,1,2020-2021
   Adnan Januzaj,11,be BEL,CM,25-221,13,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,0,5,0.0,0,5,0,1,0,1,2020-2021
Mikel Merino,8,es ESP,CM,24-083,90,0,0,0,0,0,0,0,0,57,2,1,3,0.0,0.0,0.0,2,0,29,45,64.4,3,26,0,1,1,1,2020-2021
Roberto López,28,es ESP,CM,20-142,77,1,0,0,0,2,1,0,0,45,0,1,0,0.1,0.1,0.0,1,0,22,38,57.9,3,18,0,0,0,1,2020-2021
   Mikel Oyarzabal,10,es ESP,LM,23-145,13,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,0,0,0,1,2020-2021
Portu,7,es ESP,RM,28-115,90,0,0,0,0,1,0,0,0,38,1,1,0,0.0,0.0,0.1,4,1,17,29,58.6,1,22,5,5,2,1,2020-2021
Igor Zubeldia,5,es ESP,DM,23-167,90,0,0,0,0,1,0,0,0,52,3,1,1,0.0,0.0,0.0,0,0,38,45,84.4,4,24,0,0,0,1,2020-2021
Aihen Muñoz,12,es ESP,LB,23-028,90,0,0,0,0,2,1,0,0,47,1,0,2,0.1,0.1,0.0,1,0,27,41,65.9,3,26,1,2,2,1,2020-2021
Diego Llorente,3,es ESP,CB,27-028,90,0,0,0,0,0,0,0,0,66,1,2,1,0.0,0.0,0.0,0,0,48,59,81.4,3,44,2,0,0,1,2020-2021
Aritz Elustondo,6,es ESP,CB,26-169,90,0,0,0,0,0,0,1,0,57,1,1,0,0.0,0.0,0.0,1,1,42,51,82.4,7,38,0,0,0,1,2020-2021
