player,shirtnumber,nationality,position,age,minutes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,Matchweek,Season
Borja Iglesias,9,es ESP,FW,28-094,65,14,13,1,0,0,0,1,0,0,0,0,0,11,0,0,31,2020-2021
   Loren Morón,16,es ESP,"FW,LW",27-112,25,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,31,2020-2021
Cristian Tello,11,es ESP,LW,29-253,65,25,23,2,1,0,1,2,0,1,0,0,0,22,0,1,31,2020-2021
   Diego Lainez,20,mx MEX,"RW,LW",20-316,25,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,31,2020-2021
Aitor Ruibal,24,es ESP,RW,25-030,77,24,23,0,0,0,1,0,0,0,0,0,0,19,1,1,31,2020-2021
   Andrés Guardado,18,mx MEX,"DM,LW",34-205,13,9,8,1,0,0,0,1,0,1,0,1,0,6,0,0,31,2020-2021
Nabil Fekir,8,fr FRA,AM,27-277,10,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,31,2020-2021
Sergio Canales,10,es ESP,"DM,FW",30-064,86,48,41,7,4,0,4,6,0,3,2,1,0,41,0,0,31,2020-2021
   Paul Akouokou,4,ci CIV,DM,23-122,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,31,2020-2021
Guido Rodríguez,21,ar ARG,DM,27-009,90,47,43,3,3,0,1,0,0,0,0,0,0,36,1,1,31,2020-2021
Juan Miranda,33,es ESP,LB,21-092,90,45,36,9,2,0,0,1,7,0,0,0,0,34,0,0,31,2020-2021
Marc Bartra,5,es ESP,CB,30-096,90,29,28,0,0,0,1,0,0,0,0,0,0,24,1,1,31,2020-2021
Aïssa Mandi,23,dz ALG,CB,29-181,90,21,21,0,0,0,0,0,0,0,0,0,0,16,0,0,31,2020-2021
Emerson,22,br BRA,RB,22-097,90,46,34,11,1,0,0,2,10,0,0,0,0,36,1,2,31,2020-2021
Claudio Bravo,25,cl CHI,GK,38-008,90,41,24,17,8,0,1,0,0,0,0,0,0,21,0,0,31,2020-2021
Asier Villalibre,20,es ESP,FW,23-203,90,18,18,0,0,0,0,2,0,0,0,0,0,12,0,0,31,2020-2021
Oihan Sancet,16,es ESP,FW,20-361,61,13,12,1,0,0,0,0,0,0,0,0,0,7,0,1,31,2020-2021
   Raúl García,22,es ESP,FW,34-284,29,9,9,0,0,0,0,1,0,0,0,0,0,8,0,0,31,2020-2021
Jon Morcillo,2,es ESP,LM,22-218,67,19,18,1,0,0,0,4,0,1,0,0,0,13,0,3,31,2020-2021
   Ibai Gómez,7,es ESP,LM,31-161,23,17,17,0,0,0,0,4,0,0,0,0,0,14,0,0,31,2020-2021
Mikel Vesga,6,es ESP,CM,27-335,61,23,22,1,1,0,2,0,0,0,0,0,0,22,0,0,31,2020-2021
   Unai López,8,es ESP,CM,25-173,29,42,40,0,0,0,0,0,0,0,0,0,0,35,2,0,31,2020-2021
Unai Vencedor Paris,27,es ESP,CM,20-157,90,84,84,0,0,0,0,0,0,0,0,0,0,75,0,0,31,2020-2021
Álex Berenguer,12,es ESP,RM,25-291,81,26,21,5,2,0,0,4,0,3,0,2,0,15,0,1,31,2020-2021
   Iñaki Williams,9,gh GHA,RM,26-310,9,4,3,0,0,0,0,0,0,0,0,0,0,2,1,0,31,2020-2021
Iñigo Lekue,15,es ESP,LB,27-352,90,62,50,12,1,0,0,5,11,0,0,0,0,52,0,1,31,2020-2021
Mikel Balenziaga,24,es ESP,CB,33-051,90,63,63,0,0,0,0,0,0,0,0,0,0,60,0,0,31,2020-2021
Unai Núñez,3,es ESP,CB,24-081,90,66,63,3,3,0,2,0,0,0,0,0,0,59,0,0,31,2020-2021
Óscar de Marcos,18,es ESP,RB,32-007,90,60,52,8,2,0,0,4,6,0,0,0,0,46,0,0,31,2020-2021
Unai Simón,1,es ESP,GK,23-314,90,20,10,10,5,0,0,0,0,0,0,0,0,19,0,0,31,2020-2021
Lucas Pérez,7,es ESP,FW,32-223,57,15,11,3,0,0,0,2,0,1,0,1,0,10,1,1,31,2020-2021
   Édgar Méndez,16,es ESP,"FW,LM",31-109,33,8,8,0,0,0,0,2,0,0,0,0,0,5,0,0,31,2020-2021
Joselu,9,es ESP,FW,31-025,89,34,34,0,0,0,0,3,0,0,0,0,0,17,0,0,31,2020-2021
   Deyverson,14,br BRA,FW,29-348,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,31,2020-2021
Luis Rioja,11,es ESP,LM,27-187,57,16,16,0,0,0,0,2,0,0,0,0,0,11,0,1,31,2020-2021
   Pere Pons,20,es ESP,"RM,FW",28-060,33,6,6,0,0,0,0,0,0,0,0,0,0,3,0,0,31,2020-2021
Tomás Pina Isla,8,es ESP,CM,33-189,90,26,25,1,1,0,1,0,0,0,0,0,0,22,0,0,31,2020-2021
Rodrigo Battaglia,6,ar ARG,CM,29-283,90,25,23,2,2,0,0,0,0,0,0,0,0,21,0,1,31,2020-2021
Jota,24,es ESP,"RM,LM",29-309,78,22,19,3,1,0,0,3,0,2,1,1,0,15,0,0,31,2020-2021
   Facundo Pellistri,37,uy URU,RM,19-122,12,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,31,2020-2021
Martin Agirregabiria,21,es ESP,LB,24-346,90,40,28,12,1,0,1,1,11,0,0,0,0,32,0,0,31,2020-2021
Florian Lejeune,22,fr FRA,CB,29-336,90,33,31,2,2,0,1,0,0,0,0,0,0,28,0,0,31,2020-2021
Víctor Laguardia,5,es ESP,CB,31-167,90,29,27,2,2,0,0,0,0,0,0,0,0,21,0,0,31,2020-2021
Ximo Navarro,23,es ESP,RB,31-088,90,35,24,11,2,0,0,0,9,0,0,0,0,28,0,1,31,2020-2021
Fernando Pacheco,1,es ESP,GK,28-338,90,31,20,11,2,0,0,0,0,0,0,0,0,21,0,0,31,2020-2021
Paco Alcácer,17,es ESP,FW,27-234,83,17,14,3,0,0,0,0,0,0,0,0,0,13,0,0,31,2020-2021
   Yeremi Pino,30,es ESP,LM,18-183,7,4,4,0,0,0,0,1,0,0,0,0,0,3,0,1,31,2020-2021
Gerard Moreno,7,es ESP,FW,29-014,90,35,34,1,0,0,1,3,1,0,0,0,0,28,0,1,31,2020-2021
Manu Trigueros,14,es ESP,"LM,RM",29-186,90,71,68,2,1,1,0,2,0,1,1,0,0,60,1,2,31,2020-2021
Daniel Parejo,5,es ESP,CM,32-005,69,72,65,7,3,0,0,4,0,4,0,1,0,63,0,0,31,2020-2021
   Francis Coquelin,19,fr FRA,CM,29-343,21,24,24,0,0,0,0,0,0,0,0,0,0,21,0,2,31,2020-2021
Étienne Capoue,25,fr FRA,CM,32-284,83,62,61,1,1,0,1,0,0,0,0,0,0,55,0,0,31,2020-2021
   Fernando Niño,34,es ESP,FW,20-179,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2020-2021
Samuel Chukwueze,11,ng NGA,RM,21-334,69,34,31,3,0,0,0,4,0,3,0,0,0,20,0,1,31,2020-2021
   Moi Gómez,23,es ESP,"LM,CM",26-302,21,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0,31,2020-2021
Alfonso Pedraza,24,es ESP,LB,25-012,90,69,61,8,0,0,0,7,8,0,0,0,0,60,0,1,31,2020-2021
