player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,Matchweek,Season
Roger Martí,9,es ESP,FW,31-068,90,2,2,0,1,1,1,2,50.0,1,1,0,1,0,2,0,0,28,2021-2022
Enis Bardhi,10,mk MKD,LW,26-253,90,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,2,0,28,2021-2022
Jorge de Frutos,18,es ESP,RW,25-020,85,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,28,2021-2022
   Álex Cantero,29,es ESP,RW,21-277,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,2021-2022
Son,2,es ESP,LM,27-347,60,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0,28,2021-2022
   Enric Franquesa,3,es ESP,LM,25-014,30,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,28,2021-2022
Gonzalo Melero,22,es ESP,CM,28-069,60,1,1,0,1,0,0,0,,0,1,0,1,1,2,0,0,28,2021-2022
   José Campaña,24,es ESP,CM,28-285,30,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,0,0,28,2021-2022
José Luis García Vayá,8,es ESP,CM,23-213,90,1,1,0,1,0,0,0,,0,2,1,1,0,1,0,0,28,2021-2022
Pubill,42,es ESP,RM,18-265,77,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,2021-2022
   Dani Gómez,21,es ESP,RM,23-225,13,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,2021-2022
Martín Cáceres,7,uy URU,CB,34-339,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,28,2021-2022
Óscar Duarte,6,cr CRC,CB,32-282,60,1,0,1,0,0,0,0,,0,0,0,0,0,1,2,0,28,2021-2022
   Rúben Vezo,14,pt POR,CB,27-321,30,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,28,2021-2022
Rober,4,es ESP,CB,27-024,90,2,1,0,2,0,0,0,,0,0,0,0,1,3,3,0,28,2021-2022
Cárdenas,34,es ESP,GK,24-349,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,2021-2022
Raúl de Tomás,11,es ESP,FW,27-146,90,1,0,1,0,0,0,0,,0,2,1,1,0,1,1,0,28,2021-2022
Tonny Vilhena,19,nl NED,LW,27-068,62,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,0,0,28,2021-2022
   Aleix Vidal,22,es ESP,RW,32-203,28,0,0,0,0,0,0,0,,0,2,0,2,1,1,2,0,28,2021-2022
Javi Puado,9,es ESP,"RW,LW",23-291,72,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,28,2021-2022
   Adri Embarba,23,es ESP,LW,29-309,18,2,1,2,0,0,1,1,100.0,0,1,0,1,0,2,2,0,28,2021-2022
Sergi Darder,10,es ESP,LM,28-080,86,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,0,0,28,2021-2022
   Nico Ribaudo,21,es ESP,LM,20-335,4,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,28,2021-2022
Keidi Bare,20,al ALB,CM,24-196,90,1,1,1,0,0,0,1,0.0,1,2,2,0,0,1,4,0,28,2021-2022
Yangel Herrera,25,ve VEN,RM,24-057,90,4,4,1,3,0,1,2,50.0,1,2,0,2,1,5,5,0,28,2021-2022
Adrià Pedrosa,3,es ESP,LB,23-303,90,3,1,3,0,0,3,6,50.0,3,1,0,1,1,4,3,0,28,2021-2022
Leandro Cabrera,4,uy URU,CB,30-268,90,2,1,1,1,0,1,1,100.0,0,2,1,1,0,2,8,0,28,2021-2022
Fernando Calero,5,es ESP,CB,26-179,90,2,1,2,0,0,0,0,,0,1,0,1,0,2,3,0,28,2021-2022
Óscar Gil,12,es ESP,RB,24-320,86,3,3,1,2,0,2,4,50.0,2,1,0,1,2,5,1,0,28,2021-2022
   Wu Lei,7,cn CHN,RB,30-113,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,28,2021-2022
Diego López,13,es ESP,GK,40-129,72,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,2021-2022
   Joan García,34,es ESP,GK,20-312,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,28,2021-2022
Myrto Uzuni,24,al ALB,FW,26-285,60,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,2021-2022
   Darwin Machís,11,ve VEN,LM,29-033,30,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,28,2021-2022
Luis Javier Suárez,9,co COL,FW,24-100,76,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,2021-2022
   Antonio Puertas,10,es ESP,FW,30-019,14,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,2021-2022
Luis Milla,5,es ESP,CM,27-156,90,1,0,1,0,0,1,1,100.0,0,2,1,1,1,2,0,0,28,2021-2022
Njegoš Petrović,18,rs SRB,CM,22-237,76,1,0,0,1,0,1,1,100.0,0,4,1,3,2,3,0,0,28,2021-2022
   Isma Ruiz,26,es ESP,CM,21-026,14,0,0,0,0,0,0,3,0.0,3,0,0,0,1,1,0,0,28,2021-2022
Álex Collado,35,es ESP,"CM,RM",22-324,71,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,28,2021-2022
