player,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,Matchweek,Season
Yassine Bounou,ma MAR,31-024,90,3,1,2,66.7,0.5,2,5,40.0,14,4,14.3,30.4,9,33.3,37.7,17,0,0.0,0,,34,2021-2022
Jeremías Ledesma,ar ARG,29-075,90,6,1,5,83.3,1.2,1,20,5.0,31,5,58.1,41.6,3,66.7,50.7,23,2,8.7,1,12.3,34,2021-2022
Fernando Pacheco,es ESP,29-347,90,6,1,5,83.3,0.4,9,31,29.0,27,2,77.8,52.8,12,83.3,56.6,14,1,7.1,1,10.0,34,2021-2022
Sergio Asenjo,es ESP,32-306,90,4,2,2,50.0,2.0,2,2,100.0,24,8,8.3,24.1,6,0.0,15.3,17,0,0.0,2,15.4,34,2021-2022
Thibaut Courtois,be BEL,29-354,90,6,0,6,100.0,1.6,2,4,50.0,26,4,3.8,20.4,7,42.9,39.9,19,0,0.0,0,,34,2021-2022
Diego López,es ESP,40-178,90,5,4,1,20.0,2.4,3,5,60.0,13,5,23.1,29.9,9,22.2,32.4,5,1,20.0,2,22.0,34,2021-2022
Giorgi Mamardashvili,ge GEO,21-213,90,6,1,5,83.3,2.6,6,28,21.4,16,1,93.8,56.8,14,92.9,61.1,18,1,5.6,0,4.3,34,2021-2022
Cárdenas,es ESP,25-033,90,1,1,0,0.0,0.8,0,5,0.0,11,4,36.4,32.3,5,20.0,31.6,8,1,12.5,2,20.3,34,2021-2022
Unai Simón,es ESP,24-323,90,3,0,3,100.0,1.0,5,16,31.3,21,4,52.4,42.4,6,83.3,66.5,9,2,22.2,0,10.7,34,2021-2022
Jan Oblak,si SVN,29-113,90,4,2,3,75.0,1.6,4,16,25.0,24,4,37.5,34.0,12,58.3,42.3,12,0,0.0,0,,34,2021-2022
Édgar Badía,es ESP,30-078,90,3,1,2,100.0,1.2,4,12,33.3,24,5,29.2,32.0,8,62.5,50.3,19,0,0.0,0,8.4,34,2021-2022
Sergio Herrera,es ESP,28-330,90,4,1,3,75.0,0.6,12,17,70.6,20,4,45.0,40.9,9,88.9,63.7,15,0,0.0,2,24.0,34,2021-2022
Luís Maximiano,pt POR,23-116,90,5,1,4,80.0,1.6,7,22,31.8,15,2,66.7,49.5,12,100.0,66.7,11,0,0.0,2,20.5,34,2021-2022
Matías Dituro,ar ARG,34-358,90,6,1,5,83.3,2.0,9,26,34.6,22,0,77.3,54.0,9,100.0,68.6,18,1,5.6,2,14.7,34,2021-2022
Stole Dimitrievski,mk MKD,28-127,90,3,1,2,66.7,0.7,0,19,0.0,27,8,44.4,40.6,11,63.6,51.8,13,1,7.7,1,10.5,34,2021-2022
Álex Remiro,es ESP,27-038,90,7,1,6,85.7,1.5,3,11,27.3,31,4,25.8,33.3,7,42.9,38.7,21,0,0.0,1,16.5,34,2021-2022
Marc-André ter Stegen,de GER,30-001,90,2,1,1,50.0,0.5,2,3,66.7,14,1,7.1,23.5,5,40.0,32.0,3,0,0.0,0,13.3,34,2021-2022
Sergio Rico,es ESP,28-242,90,5,2,3,60.0,1.1,10,22,45.5,18,4,66.7,45.4,10,100.0,60.3,16,0,0.0,0,2.7,34,2021-2022
David Soria,es ESP,29-028,90,4,0,4,100.0,0.4,13,21,61.9,23,3,78.3,48.7,3,100.0,61.3,10,0,0.0,2,19.0,34,2021-2022
Claudio Bravo,cl CHI,39-019,90,2,0,2,100.0,0.5,10,19,52.6,35,10,48.6,38.1,5,40.0,40.4,12,0,0.0,1,21.0,34,2021-2022
