player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,Matchweek,Season
Bryan Gil,21,es ESP,FW,21-088,62,36,1,2,10,25,1,36,2,0,0.0,2,100.0,29,185,96,2,2,0,3,2,26,7,36,2021-2022
   Gonçalo Guedes,7,pt POR,LM,25-162,28,19,0,0,4,15,6,19,3,1,33.3,2,66.7,14,100,30,3,0,2,0,1,14,1,36,2021-2022
Hugo Duro,19,es ESP,FW,22-181,88,34,1,1,8,25,6,34,2,1,50.0,1,50.0,29,114,59,2,3,2,3,4,30,8,36,2021-2022
   Denis Cheryshev,17,ru RUS,FW,31-135,2,2,0,0,0,2,0,2,0,0,,0,,2,38,21,0,0,0,0,0,2,0,36,2021-2022
Ilaix Moriba,23,gn GUI,CM,19-111,90,59,0,5,32,24,3,59,1,0,0.0,1,100.0,40,292,164,4,4,0,3,2,35,1,36,2021-2022
Uroš Račić,8,rs SRB,CM,24-054,45,21,2,8,9,5,0,21,0,0,,0,,14,96,22,0,0,0,0,2,14,0,36,2021-2022
   Jesús Santiago,44,es ESP,CM,17-350,45,28,1,1,17,10,0,28,1,0,0.0,1,100.0,15,89,37,0,0,0,2,1,15,1,36,2021-2022
Carlos Soler,10,es ESP,"CM,RM",25-128,88,52,1,4,22,28,2,52,0,0,,0,,34,152,62,2,1,0,0,1,38,3,36,2021-2022
   Yunus Musah,4,us USA,RM,19-162,2,5,0,0,3,3,2,5,1,1,100.0,0,0.0,2,33,31,2,1,1,2,0,4,2,36,2021-2022
Jesus Vazquez,32,es ESP,LB,19-128,90,47,0,3,23,22,5,47,4,3,75.0,1,25.0,25,148,103,3,2,0,3,1,21,6,36,2021-2022
Omar Alderete,15,py PAR,CB,25-135,90,48,5,22,23,3,1,48,0,0,,0,,28,112,72,2,2,0,1,0,24,0,36,2021-2022
Mouctar Diakhaby,12,gn GUI,CB,25-142,90,36,6,19,14,3,3,36,2,2,100.0,0,0.0,18,96,54,1,0,0,0,1,14,0,36,2021-2022
Dimitri Foulquier,20,fr FRA,"CB,RB",29-048,90,46,4,16,19,11,0,46,2,1,50.0,1,50.0,23,148,88,1,2,0,1,0,19,1,36,2021-2022
Thierry Correia,2,pt POR,RB,23-062,62,42,1,13,14,15,1,42,2,1,50.0,1,50.0,26,180,121,4,2,0,0,1,20,6,36,2021-2022
   Maxi Gómez,9,uy URU,FW,25-269,28,8,0,0,0,8,1,8,0,0,,0,,7,41,17,1,1,0,1,0,9,3,36,2021-2022
Giorgi Mamardashvili,28,ge GEO,GK,21-223,90,23,20,23,0,0,0,23,0,0,,0,,16,94,47,0,0,0,0,0,7,0,36,2021-2022
Willian José,12,br BRA,FW,30-168,80,30,1,3,14,13,3,30,0,0,,0,,20,71,33,1,1,0,4,0,26,6,36,2021-2022
   Borja Iglesias,9,es ESP,FW,29-113,10,9,0,1,3,5,1,9,0,0,,0,,4,16,10,0,0,0,0,0,5,2,36,2021-2022
Nabil Fekir,8,fr FRA,LW,28-296,71,46,1,7,21,19,1,46,3,1,33.3,2,66.7,32,159,61,2,3,1,2,2,34,4,36,2021-2022
   Joaquín,17,es ESP,LW,40-293,19,16,4,7,4,5,0,16,0,0,,0,,6,18,17,1,1,0,0,0,10,1,36,2021-2022
Rodri,28,es ESP,RW,21-359,62,27,2,7,10,10,1,27,1,0,0.0,1,100.0,24,120,16,0,1,1,0,3,21,5,36,2021-2022
   Juanmi,7,es ESP,RW,28-355,28,7,0,2,1,4,2,7,0,0,,0,,4,28,16,1,1,1,2,0,4,0,36,2021-2022
Sergio Canales,10,es ESP,AM,31-083,90,57,0,4,32,23,0,57,3,2,66.7,1,33.3,38,179,73,4,1,0,3,2,43,3,36,2021-2022
Guido Rodríguez,21,ar ARG,DM,28-028,90,55,5,28,23,5,0,55,0,0,,0,,33,90,36,0,1,0,3,0,34,0,36,2021-2022
William Carvalho,14,pt POR,DM,30-033,90,63,2,24,35,6,2,63,6,3,50.0,3,50.0,40,219,72,1,1,1,1,0,46,0,36,2021-2022
Álex Moreno,15,es ESP,LB,28-336,71,57,4,32,21,7,1,57,0,0,,0,,31,233,154,2,0,0,2,2,35,2,36,2021-2022
   Juan Miranda,33,es ESP,LB,22-111,19,12,0,3,5,4,1,12,0,0,,0,,3,8,1,0,0,0,0,0,5,2,36,2021-2022
Marc Bartra,5,es ESP,CB,31-115,90,59,17,49,10,0,0,59,0,0,,0,,28,104,54,0,0,0,0,0,35,0,36,2021-2022
Germán Pezzella,16,ar ARG,CB,30-317,80,48,12,33,15,0,0,48,0,0,,0,,23,66,20,0,0,0,0,1,30,0,36,2021-2022
   Édgar González,3,es ESP,CB,25-039,10,3,2,3,0,0,0,3,0,0,,0,,1,5,5,0,0,0,0,0,1,0,36,2021-2022
Youssouf Sabaly,23,sn SEN,RB,29-066,90,60,4,21,27,13,1,60,1,0,0.0,1,100.0,32,189,151,4,3,0,1,3,38,1,36,2021-2022
Rui Silva,13,pt POR,GK,28-092,90,50,42,50,0,0,0,50,0,0,,0,,27,155,97,0,0,0,0,0,17,0,36,2021-2022
Jorge Molina,23,es ESP,FW,40-018,90,35,0,1,13,21,5,35,1,0,0.0,1,100.0,18,50,27,1,1,1,3,3,28,7,36,2021-2022
Myrto Uzuni,24,al ALB,LW,26-344,77,30,0,3,9,18,6,30,1,0,0.0,1,100.0,21,72,18,2,0,1,6,1,18,3,36,2021-2022
   Luis Javier Suárez,9,co COL,LW,24-159,13,4,0,0,2,2,0,4,0,0,,0,,1,1,0,0,0,0,0,1,3,0,36,2021-2022
Antonio Puertas,10,es ESP,RW,30-078,87,32,1,6,12,14,2,32,3,3,100.0,0,0.0,13,71,38,2,0,1,1,2,17,4,36,2021-2022
   Santiago Arias,2,co COL,RW,30-117,3,4,1,2,0,2,0,4,0,0,,0,,0,0,0,0,0,0,0,0,0,0,36,2021-2022
Luis Milla,5,es ESP,LM,27-215,90,41,2,6,23,13,2,41,0,0,,0,,14,83,73,1,1,0,1,0,20,1,36,2021-2022
Maxime Gonalons,4,fr FRA,CM,33-061,77,37,1,13,20,4,0,37,0,0,,0,,12,54,7,0,0,0,1,1,15,0,36,2021-2022
   Yan Brice Eteki,8,cm CMR,CM,24-257,13,2,0,0,2,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,36,2021-2022
Álex Collado,35,es ESP,RM,23-018,90,59,1,4,19,36,4,59,2,0,0.0,2,100.0,29,122,39,2,3,1,5,2,34,1,36,2021-2022
