player,shirtnumber,nationality,position,age,minutes,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,Matchweek,Season
Chris Ramos,16,es ESP,FW,26-121,45,0,0,0,1,1,0,0,0,0,1,0,0,0,5,1,83.3,35,2022-2023
   Anthony Lozano,9,hn HON,FW,30-024,45,1,0,0,2,4,1,0,0,0,1,0,0,3,1,3,25.0,35,2022-2023
Rubén Sobrino,7,es ESP,LW,30-352,90,0,0,0,2,1,0,1,1,3,0,0,0,8,1,3,25.0,35,2022-2023
Theo Bongonda,10,cd COD,RW,27-180,87,1,0,0,2,0,0,3,1,2,0,0,0,5,0,0,,35,2022-2023
   Santiago Arzamendia,21,py PAR,RW,25-014,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,,35,2022-2023
Sergi Guardiola,19,es ESP,AM,31-355,78,0,0,0,1,1,0,0,0,1,0,0,0,3,0,3,0.0,35,2022-2023
   José Mari,6,es ESP,AM,35-164,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,35,2022-2023
Rubén Alcaraz,4,es ESP,DM,32-018,65,0,0,0,4,4,0,2,0,2,0,0,0,7,2,1,66.7,35,2022-2023
   Fede San Emeterio,24,es ESP,DM,26-064,25,1,0,0,2,0,0,1,1,0,0,0,0,1,0,0,,35,2022-2023
Gonzalo Escalante,17,ar ARG,DM,30-053,90,0,0,0,1,1,0,0,2,1,0,0,0,4,3,3,50.0,35,2022-2023
Alfonso Espino,22,uy URU,LB,31-134,90,0,0,0,0,5,0,4,1,3,0,0,0,12,7,2,77.8,35,2022-2023
Jorge Meré,25,es ESP,CB,26-032,78,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0,35,2022-2023
   Mamadou Mbaye,5,sn SEN,CB,24-325,12,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,,35,2022-2023
