player,shirtnumber,nationality,position,age,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,Matchweek,Season
Gorka Guruzeta,12,es ESP,FW,27-004,67,11,20,55.0,154,33,5,8,62.5,5,8,62.5,0,2,0.0,0,0.0,0.1,0,0,2,0,3,5,2023-2024
   Asier Villalibre,20,es ESP,FW,25-351,23,7,8,87.5,59,24,6,7,85.7,0,0,,0,0,,1,0.6,0.1,3,0,2,0,2,5,2023-2024
Álex Berenguer,7,es ESP,LW,28-074,62,14,24,58.3,231,65,6,9,66.7,5,8,62.5,2,5,40.0,0,0.4,0.4,2,0,1,1,2,5,2023-2024
   Iker Muniain,10,es ESP,LW,30-271,28,19,23,82.6,209,40,12,14,85.7,3,5,60.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,5,2023-2024
Iñaki Williams,9,gh GHA,RW,29-093,90,27,41,65.9,292,84,19,25,76.0,7,9,77.8,0,3,0.0,0,0.1,0.2,2,0,5,0,5,5,2023-2024
Oihan Sancet,8,es ESP,AM,23-144,80,26,32,81.3,355,87,13,17,76.5,12,14,85.7,0,0,,0,0.2,0.0,4,4,0,0,5,5,2023-2024
   Ander Herrera,21,es ESP,AM,34-033,10,9,10,90.0,148,43,5,5,100.0,3,3,100.0,1,2,50.0,0,0.0,0.0,0,2,1,0,2,5,2023-2024
Iñigo Ruiz de Galarreta,16,es ESP,DM,30-041,80,44,54,81.5,759,259,14,16,87.5,23,29,79.3,4,5,80.0,0,0.2,0.2,1,6,2,0,7,5,2023-2024
   Unai Gómez,30,es ESP,DM,20-114,10,3,5,60.0,23,7,3,5,60.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,5,2023-2024
Mikel Vesga,6,es ESP,DM,30-118,90,30,46,65.2,416,169,19,24,79.2,8,13,61.5,2,5,40.0,0,0.0,0.0,0,4,0,0,4,5,2023-2024
Yuri Berchiche,17,es ESP,LB,33-218,90,52,69,75.4,831,327,28,30,93.3,19,25,76.0,3,8,37.5,0,0.0,0.1,0,6,2,1,8,5,2023-2024
Aitor Paredes,4,es ESP,CB,23-140,67,40,50,80.0,766,258,11,15,73.3,25,27,92.6,3,7,42.9,0,0.0,0.0,0,1,0,0,4,5,2023-2024
   Yeray Álvarez,5,es ESP,CB,28-235,23,6,10,60.0,85,60,3,4,75.0,3,3,100.0,0,3,0.0,0,0.0,0.0,0,0,0,0,0,5,2023-2024
Daniel Vivian,3,es ESP,CB,24-063,90,45,52,86.5,881,461,19,22,86.4,18,20,90.0,7,8,87.5,0,0.0,0.0,0,4,0,0,2,5,2023-2024
Óscar de Marcos,18,es ESP,RB,34-155,90,63,80,78.8,1136,485,33,36,91.7,19,25,76.0,10,14,71.4,1,0.5,0.4,2,6,2,2,13,5,2023-2024
Unai Simón,1,es ESP,GK,26-097,90,15,22,68.2,509,424,1,1,100.0,7,7,100.0,7,14,50.0,0,0.0,0.0,0,0,0,0,0,5,2023-2024
Roger Martí,21,es ESP,FW,32-256,58,4,8,50.0,76,26,2,6,33.3,1,1,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,2,5,2023-2024
   Darwin Machís,18,ve VEN,FW,30-221,32,10,12,83.3,149,49,5,5,100.0,3,4,75.0,1,2,50.0,0,0.0,0.0,0,1,0,0,1,5,2023-2024
Chris Ramos,16,es ESP,FW,26-241,76,12,18,66.7,185,43,5,9,55.6,6,7,85.7,0,0,,0,0.0,0.0,0,0,0,0,2,5,2023-2024
