player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,Matchweek,Season
Diego Rolán,24,uy URU,FW,24-252,90,1,1,0,0,1,0,0,,0,1,0,1,1,2,0,0,14,2017-2018
Adalberto Peñaranda,16,ve VEN,FW,20-184,58,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,14,2017-2018
   Borja Bastón,9,es ESP,FW,25-098,32,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,14,2017-2018
Chory Castro,11,uy URU,LM,33-078,84,3,1,2,0,1,0,0,,0,1,0,1,0,3,0,0,14,2017-2018
   Juanpi,10,ve VEN,LM,23-311,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,14,2017-2018
Adrián González,8,es ESP,CM,29-190,90,0,0,0,0,0,0,0,,0,0,0,0,5,5,0,0,14,2017-2018
Recio,14,es ESP,CM,26-324,90,9,8,4,5,0,3,3,100.0,0,1,0,1,2,11,0,0,14,2017-2018
Keko,20,es ESP,RM,25-339,69,2,2,0,2,0,1,2,50.0,1,1,0,1,1,3,0,0,14,2017-2018
   Javier Ontiveros,17,es ESP,RM,20-083,21,1,1,1,0,0,1,1,100.0,0,0,0,0,2,3,0,0,14,2017-2018
Diego González,3,es ESP,LB,22-307,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,14,2017-2018
Paul Baysse,22,fr FRA,CB,29-197,90,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,1,0,14,2017-2018
Luis Hernández,4,es ESP,CB,28-231,90,2,2,2,0,0,0,0,,0,0,0,0,3,5,10,0,14,2017-2018
Roberto Rosales,18,ve VEN,RB,29-011,90,6,3,5,1,0,3,3,100.0,0,2,0,2,1,7,4,0,14,2017-2018
