player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,Matchweek,Season
Adrián López,15,es ESP,"FW,LM",30-088,90,2,0,0,0,4,3,0,0,46,1,0,3,0.7,0.7,0.1,1,0,21,28,75.0,3,24,3,2,1,31,2017-2018
Lucas Pérez,7,es ESP,FW,29-208,90,1,0,1,1,6,2,0,0,27,1,0,0,1.6,0.8,0.3,7,1,12,17,70.6,4,13,1,5,3,31,2017-2018
Emre Çolak,8,tr TUR,AM,26-321,86,0,0,0,0,0,0,1,0,46,1,0,0,0.0,0.0,0.0,5,2,30,42,71.4,6,31,3,2,2,31,2017-2018
   Florin Andone,10,ro ROU,FW,24-360,4,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,31,2017-2018
Sulley Muntari,21,gh GHA,LM,33-222,45,0,0,0,0,0,0,1,0,11,1,0,1,0.0,0.0,0.0,0,0,4,6,66.7,0,4,0,0,0,31,2017-2018
   Celso Borges,22,cr CRC,"RM,CM",29-314,45,0,0,0,0,0,0,0,0,21,1,0,2,0.0,0.0,0.0,0,0,14,18,77.8,2,8,0,1,1,31,2017-2018
Pedro Mosquera,5,es ESP,"CM,LM",29-350,79,0,1,0,0,0,0,0,0,45,1,0,1,0.0,0.0,0.3,3,1,28,36,77.8,4,14,0,1,0,31,2017-2018
   Borja Valle,19,es ESP,"RM,LM",25-271,11,0,1,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.5,2,1,3,3,100.0,1,4,3,0,0,31,2017-2018
Guilherme,20,br BRA,"CM,RM",27-001,90,0,0,0,0,1,0,1,0,52,3,3,0,0.0,0.0,0.0,4,0,33,45,73.3,7,16,0,0,0,31,2017-2018
Fernando Navarro,3,es ESP,LB,35-285,90,0,0,0,0,0,0,0,0,57,4,0,0,0.0,0.0,0.0,2,0,39,49,79.6,5,26,1,4,4,31,2017-2018
Sidnei,12,br BRA,CB,28-226,90,0,0,0,0,0,0,0,0,41,2,1,0,0.0,0.0,0.0,0,0,28,33,84.8,1,13,0,0,0,31,2017-2018
Raúl Albentosa,6,es ESP,CB,29-211,90,0,0,0,0,0,0,0,0,46,0,3,0,0.0,0.0,0.1,1,0,34,38,89.5,2,14,0,0,0,31,2017-2018
Juanfran,2,es ESP,RB,29-207,90,0,0,0,0,2,0,0,0,67,3,0,2,0.1,0.1,0.1,0,0,37,54,68.5,6,32,5,4,4,31,2017-2018
