player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,Matchweek,Season
Borja Mayoral,21,es ESP,FW,22-211,90,35,0,4,14,18,3,35,0,0,,0,,27,132,68,2,1,0,1,1,27,4,12,2019-2020
José Luis Morales,11,es ESP,FW,32-102,81,32,0,5,9,19,7,32,2,2,100.0,0,0.0,17,183,68,4,1,3,4,2,24,8,12,2019-2020
   Nikola Vukčević,17,me MNE,FW,27-324,9,4,0,2,1,1,0,4,0,0,,0,,2,1,0,0,0,0,0,0,3,0,12,2019-2020
Enis Bardhi,10,mk MKD,LM,24-123,61,32,0,5,10,17,2,32,1,0,0.0,1,100.0,17,82,32,2,0,1,3,3,25,5,12,2019-2020
   Rubén Rochina,16,es ESP,LM,28-224,29,17,1,5,9,3,0,17,2,2,100.0,0,0.0,9,34,0,0,0,0,1,1,12,1,12,2019-2020
Gonzalo Melero,22,es ESP,CM,25-304,90,56,3,18,21,17,5,56,2,1,50.0,1,50.0,27,126,65,2,1,2,0,2,41,0,12,2019-2020
Nemanja Radoja,5,rs SRB,CM,26-269,90,40,0,13,19,9,1,40,0,0,,0,,18,79,42,0,1,0,0,0,25,2,12,2019-2020
José Campaña,24,es ESP,RM,26-155,86,62,2,11,22,30,5,62,1,1,100.0,0,0.0,33,158,90,1,1,1,1,1,45,6,12,2019-2020
   Erick Cabaco,18,uy URU,RM,24-197,4,3,1,1,2,0,0,3,0,0,,0,,1,3,0,0,0,0,0,0,2,0,12,2019-2020
Carlos Clerc,19,es ESP,LB,27-254,90,47,3,16,18,13,1,47,0,0,,0,,18,147,80,3,2,0,0,1,24,1,12,2019-2020
Rúben Vezo,14,pt POR,CB,25-191,90,29,5,13,15,1,0,29,0,0,,0,,11,124,16,0,1,0,1,0,13,0,12,2019-2020
Sergio Postigo,15,es ESP,CB,30-363,90,28,8,23,6,0,0,28,0,0,,0,,9,55,46,0,0,0,0,0,16,0,12,2019-2020
Jorge Miramón,20,es ESP,RB,30-153,90,62,6,26,26,10,1,62,0,0,,0,,26,91,35,1,0,1,1,0,27,4,12,2019-2020
Aitor Fernández,13,es ESP,GK,28-183,90,25,22,25,0,0,0,25,0,0,,0,,7,42,37,0,0,0,0,0,6,0,12,2019-2020
Luis Suárez,9,uy URU,FW,32-282,40,16,0,1,2,13,0,16,1,1,100.0,0,0.0,4,26,18,1,0,0,1,0,10,1,12,2019-2020
   Carles Pérez,27,es ESP,LW,21-259,50,37,1,8,15,14,3,37,0,0,,0,,23,148,66,2,1,1,0,0,29,10,12,2019-2020
Antoine Griezmann,17,fr FRA,"FW,LW",28-226,90,47,2,10,16,21,3,47,0,0,,0,,17,77,31,0,0,0,2,0,32,5,12,2019-2020
Lionel Messi,10,ar ARG,RW,32-131,90,70,0,1,35,34,6,69,4,2,50.0,2,50.0,45,246,114,2,5,0,2,3,57,5,12,2019-2020
Arthur Melo,8,br BRA,LM,23-082,65,56,1,11,26,19,0,56,1,1,100.0,0,0.0,35,209,70,0,0,0,1,0,45,1,12,2019-2020
   Ansu Fati,31,es ESP,LM,17-002,25,22,0,0,6,16,3,22,4,2,50.0,2,50.0,15,107,28,1,1,2,4,0,19,7,12,2019-2020
Frenkie de Jong,21,nl NED,CM,22-174,90,75,2,19,42,17,0,75,5,4,80.0,1,20.0,59,360,178,1,2,0,0,2,67,2,12,2019-2020
Arturo Vidal,22,cl CHI,RM,32-164,63,45,0,12,18,16,1,45,1,1,100.0,0,0.0,21,84,10,0,1,0,2,0,34,5,12,2019-2020
   Sergio Busquets,5,es ESP,RM,31-109,27,32,0,10,18,4,0,32,1,1,100.0,0,0.0,14,113,79,1,0,0,0,0,27,0,12,2019-2020
Nélson Semedo,2,pt POR,LB,25-351,90,83,2,21,29,33,0,83,3,0,0.0,3,100.0,53,311,186,2,2,0,2,0,64,11,12,2019-2020
Clément Lenglet,15,fr FRA,CB,24-138,90,76,7,33,43,0,0,76,0,0,,0,,51,348,230,3,0,0,0,0,64,0,12,2019-2020
Gerard Piqué,3,es ESP,CB,32-273,90,97,11,45,50,2,1,97,0,0,,0,,58,410,262,1,0,0,1,0,70,0,12,2019-2020
Sergi Roberto,20,es ESP,RB,27-268,90,96,5,35,37,25,2,96,0,0,,0,,49,257,121,1,3,0,2,2,68,7,12,2019-2020
Marc-André ter Stegen,1,de GER,GK,27-186,90,33,31,33,0,0,0,33,0,0,,0,,19,82,44,0,0,0,0,0,21,0,12,2019-2020
Luuk de Jong,19,nl NED,FW,29-067,76,24,3,5,10,9,3,24,1,0,0.0,1,100.0,9,22,11,0,0,0,1,0,13,1,12,2019-2020
   Javier Hernández,14,mx MEX,FW,31-154,14,4,0,0,4,0,0,4,0,0,,0,,2,4,0,0,0,0,0,0,2,0,12,2019-2020
Lucas Ocampos,5,ar ARG,FW,25-114,90,52,0,1,19,32,3,52,11,7,63.6,4,36.4,38,369,220,9,5,1,3,4,42,12,12,2019-2020
Sergio Reguilón,23,es ESP,LW,22-321,90,70,1,17,37,19,2,70,2,1,50.0,1,50.0,42,295,191,7,7,0,3,1,46,8,12,2019-2020
Jesús Navas,16,es ESP,RW,33-346,90,76,4,16,28,32,3,76,7,4,57.1,3,42.9,43,367,239,7,5,2,2,0,48,11,12,2019-2020
Óliver Torres,21,es ESP,CM,24-357,56,43,1,7,29,7,0,43,1,1,100.0,0,0.0,21,120,70,2,2,0,2,1,32,1,12,2019-2020
   Joan Jordán,24,es ESP,CM,25-119,34,30,0,4,12,14,3,30,0,0,,0,,12,38,10,0,0,0,1,0,19,0,12,2019-2020
Franco Vázquez,22,ar ARG,CM,30-253,90,58,2,8,37,14,3,58,2,2,100.0,0,0.0,37,245,139,4,5,0,1,1,46,4,12,2019-2020
Éver Banega,10,ar ARG,DM,31-126,85,72,1,10,46,16,1,72,2,1,50.0,1,50.0,44,194,124,0,2,1,1,2,51,4,12,2019-2020
   Alejandro Pozo Pozo,15,es ESP,CM,20-253,5,3,0,0,2,1,0,3,0,0,,0,,4,13,10,0,0,0,1,2,3,1,12,2019-2020
Jules Koundé,12,fr FRA,CB,20-355,90,71,4,41,27,4,1,71,0,0,,0,,39,168,92,1,1,0,0,0,43,1,12,2019-2020
Diego Carlos,20,br BRA,CB,26-232,90,65,10,40,25,0,0,65,0,0,,0,,33,97,53,0,0,0,2,0,39,0,12,2019-2020
Nemanja Gudelj,17,rs SRB,CB,27-351,90,62,7,34,26,2,0,62,0,0,,0,,33,124,28,0,0,0,0,1,37,0,12,2019-2020
Tomáš Vaclík,1,cz CZE,GK,30-218,90,33,32,33,0,0,0,33,0,0,,0,,11,47,19,0,0,0,0,0,14,0,12,2019-2020
Álvaro Morata,9,es ESP,FW,27-010,90,25,1,1,11,13,6,25,0,0,,0,,16,78,34,1,1,0,2,2,24,7,12,2019-2020
Ángel Correa,10,ar ARG,"RM,FW",24-238,90,46,2,9,17,20,8,46,8,5,62.5,3,37.5,26,146,67,3,2,5,2,2,25,5,12,2019-2020
Koke,6,es ESP,LM,27-298,90,57,3,17,23,17,4,57,0,0,,0,,23,81,43,0,1,0,2,0,30,3,12,2019-2020
Saúl Ñíguez,8,es ESP,"CM,LB",24-346,90,54,3,11,37,6,1,54,0,0,,0,,23,120,82,1,0,0,1,0,37,3,12,2019-2020
Thomas Partey,5,gh GHA,CM,26-142,90,68,3,14,50,7,1,68,6,5,83.3,1,16.7,43,249,146,1,1,0,0,1,43,1,12,2019-2020
Thomas Lemar,11,fr FRA,RM,23-355,45,24,0,2,11,11,0,24,0,0,,0,,14,77,40,1,1,0,2,0,16,1,12,2019-2020
