player,shirtnumber,nationality,position,age,minutes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,Matchweek,Season
Roberto Soldado,9,es ESP,FW,34-201,70,19,17,2,0,0,0,0,0,0,0,0,0,12,0,0,17,2019-2020
   Adrián Ramos,20,co COL,FW,33-326,20,9,9,0,0,0,0,1,0,0,0,0,0,5,0,2,17,2019-2020
Álvaro Vadillo,7,es ESP,"LW,RW",25-093,90,42,30,12,3,0,1,10,1,8,3,3,0,28,0,3,17,2019-2020
Antonio Puertas,10,es ESP,RW,27-296,52,12,12,0,0,0,0,2,0,0,0,0,0,10,0,0,17,2019-2020
   Darwin Machís,23,ve VEN,LW,26-310,38,9,8,1,0,0,0,1,1,0,0,0,0,7,0,0,17,2019-2020
Carlos Fernández,24,es ESP,AM,23-206,90,25,23,2,0,0,0,0,1,0,0,0,0,15,0,0,17,2019-2020
Maxime Gonalons,4,fr FRA,DM,30-279,74,26,26,0,0,0,0,0,0,0,0,0,0,18,0,0,17,2019-2020
   Yan Brice Eteki,8,cm CMR,DM,22-110,16,7,7,0,0,0,0,0,0,0,0,0,0,4,0,0,17,2019-2020
Yangel Herrera,21,ve VEN,DM,21-334,90,33,33,0,0,0,0,0,0,0,0,0,0,26,0,1,17,2019-2020
Carlos Neva,15,es ESP,LB,23-185,90,43,29,14,0,0,0,3,14,0,0,0,0,31,0,2,17,2019-2020
José Martínez,5,es ESP,CB,26-305,90,40,38,2,2,0,0,0,0,0,0,0,0,28,0,0,17,2019-2020
Domingos Duarte,22,pt POR,CB,24-279,90,30,28,2,2,0,1,0,0,0,0,0,0,26,0,0,17,2019-2020
Víctor Díaz,16,es ESP,RB,31-185,90,47,34,12,1,0,0,7,11,0,0,0,0,34,1,0,17,2019-2020
Rui Silva,1,pt POR,GK,25-310,90,30,17,13,3,0,0,0,0,0,0,0,0,16,0,0,17,2019-2020
Roger Martí,9,es ESP,FW,28-345,90,16,16,0,0,0,1,1,0,0,0,0,0,7,0,1,17,2019-2020
José Luis Morales,11,es ESP,FW,32-144,77,11,11,0,0,0,0,0,0,0,0,0,0,9,0,1,17,2019-2020
   Nikola Vukčević,17,me MNE,FW,28-001,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2019-2020
Enis Bardhi,10,mk MKD,LM,24-165,90,37,36,1,0,0,0,3,1,0,0,0,0,28,0,1,17,2019-2020
José Campaña,24,es ESP,CM,26-197,90,59,54,5,2,0,1,5,1,2,2,0,0,39,0,2,17,2019-2020
Nemanja Radoja,5,rs SRB,CM,26-311,90,43,42,1,1,0,1,1,0,0,0,0,0,32,0,0,17,2019-2020
Rubén Rochina,16,es ESP,RM,28-266,87,37,30,7,1,1,0,3,0,4,2,0,0,21,0,2,17,2019-2020
   Sergio León,7,es ESP,RM,30-342,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2019-2020
Toño,3,es ESP,LB,30-037,90,50,35,14,1,0,1,2,13,0,0,0,0,41,1,2,17,2019-2020
Sergio Postigo,15,es ESP,CB,31-040,90,30,28,2,2,0,0,0,0,0,0,0,0,20,0,0,17,2019-2020
Erick Cabaco,18,uy URU,CB,24-239,90,37,34,3,3,0,3,0,0,0,0,0,0,29,0,0,17,2019-2020
Jorge Miramón,20,es ESP,RB,30-195,70,36,26,10,0,0,0,3,10,0,0,0,0,30,0,1,17,2019-2020
   Coke,23,es ESP,RB,32-232,20,8,7,1,0,0,0,0,1,0,0,0,0,8,0,0,17,2019-2020
Aitor Fernández,13,es ESP,GK,28-225,90,37,23,14,4,0,2,0,0,0,0,0,0,30,0,0,17,2019-2020
Alexander Isak,19,se SWE,FW,20-084,65,17,15,2,0,0,0,0,0,0,0,0,0,13,0,1,17,2019-2020
   Willian José,9,br BRA,FW,28-021,25,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0,17,2019-2020
Mikel Oyarzabal,10,es ESP,LM,22-237,84,34,32,2,1,1,0,2,1,0,0,0,0,27,0,2,17,2019-2020
   Ander Barrenetxea,22,es ESP,LM,17-352,6,3,3,0,0,0,1,0,0,0,0,0,0,2,0,0,17,2019-2020
Mikel Merino,8,es ESP,CM,23-175,90,60,58,2,1,1,0,0,0,0,0,0,0,55,0,0,17,2019-2020
Martin Ødegaard,21,no NOR,CM,20-362,90,75,67,8,1,2,0,7,0,7,4,1,0,60,0,0,17,2019-2020
Portu,7,es ESP,RM,27-207,58,21,19,2,1,0,0,3,0,1,1,0,0,16,0,0,17,2019-2020
   Adnan Januzaj,11,be BEL,RM,24-312,32,14,13,1,0,0,0,2,1,0,0,0,0,10,0,0,17,2019-2020
