player,shirtnumber,nationality,position,age,minutes,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,Matchweek,Season
Santi Mina,22,es ESP,FW,24-358,82,0,0,0,0,3,0,0,0,1,0,0,0,5,2,3,40.0,11,2020-2021
   Fran Beltrán,8,es ESP,FW,21-300,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,11,2020-2021
Iago Aspas,10,es ESP,FW,33-120,90,0,0,0,0,1,0,0,1,1,0,0,0,3,1,0,100.0,11,2020-2021
Nolito,9,es ESP,LM,34-045,73,0,0,0,1,0,2,5,0,2,0,0,0,2,0,0,,11,2020-2021
   Miguel Baeza,27,es ESP,LM,20-247,17,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,50.0,11,2020-2021
Denis Suárez,6,es ESP,CM,26-328,73,0,0,0,1,0,0,4,0,1,0,0,0,3,0,1,0.0,11,2020-2021
   Okay Yokuşlu,5,tr TUR,"DM,CM",26-265,16,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,,11,2020-2021
Brais Méndez,23,es ESP,RM,23-327,89,0,0,0,4,0,0,0,1,1,0,0,0,6,2,2,50.0,11,2020-2021
   Joseph Aidoo,18,gh GHA,RM,25-061,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,2020-2021
Renato Tapia,14,pe PER,"DM,CM",25-124,90,1,0,0,3,4,0,0,0,1,0,0,0,14,1,2,33.3,11,2020-2021
Lucas Olaza,15,uy URU,LB,26-131,90,1,0,0,0,1,0,2,2,3,0,0,0,4,5,2,71.4,11,2020-2021
Jeison Murillo,24,co COL,CB,28-186,90,1,0,0,1,3,0,0,1,0,0,0,0,6,4,0,100.0,11,2020-2021
Néstor Araujo,4,mx MEX,CB,29-092,90,0,0,0,0,0,0,1,3,0,0,0,0,5,4,4,50.0,11,2020-2021
Hugo Mallo,2,es ESP,RB,29-160,90,1,0,0,1,0,0,1,1,0,0,0,0,5,6,1,85.7,11,2020-2021
Rubén Blanco,13,es ESP,GK,25-127,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,11,2020-2021
Jorge Molina,23,es ESP,FW,38-221,45,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,66.7,11,2020-2021
   Antonio Puertas,10,es ESP,FW,28-282,45,1,0,0,1,0,1,0,1,0,0,0,0,1,2,4,33.3,11,2020-2021
Luis Javier Suárez,7,co COL,LW,22-363,59,0,0,0,0,2,0,1,1,0,0,0,0,4,0,5,0.0,11,2020-2021
   Roberto Soldado,9,es ESP,LW,35-186,31,1,0,0,2,0,0,0,0,0,0,0,0,0,2,4,33.3,11,2020-2021
Darwin Machís,11,ve VEN,RW,27-296,90,0,0,0,0,5,0,0,2,1,0,0,0,5,0,1,0.0,11,2020-2021
Carlos Neva,15,es ESP,LM,24-170,90,0,0,0,0,2,0,1,2,0,0,0,0,4,1,3,25.0,11,2020-2021
Luis Milla,5,es ESP,CM,26-053,90,0,0,0,1,4,0,1,0,0,0,0,0,8,1,1,50.0,11,2020-2021
Yangel Herrera,21,ve VEN,CM,22-320,59,0,0,0,2,0,0,0,0,0,0,0,0,5,1,1,50.0,11,2020-2021
   Maxime Gonalons,4,fr FRA,CM,31-264,31,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,100.0,11,2020-2021
Dimitri Foulquier,2,fr FRA,RM,27-251,75,1,0,0,2,0,0,0,2,0,0,0,0,4,0,2,0.0,11,2020-2021
   Quini,17,es ESP,RM,31-066,15,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,66.7,11,2020-2021
Domingos Duarte,22,pt POR,CB,25-264,90,0,0,0,0,0,0,0,1,3,0,0,0,6,2,0,100.0,11,2020-2021
Germán Sánchez,6,es ESP,CB,33-353,90,0,0,0,2,0,0,0,0,1,0,0,0,2,1,1,50.0,11,2020-2021
Jesús Vallejo,20,es ESP,CB,23-329,81,0,0,0,1,0,0,0,1,0,0,0,0,4,1,0,100.0,11,2020-2021
   Alberto Soro,26,es ESP,CB,21-265,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0,11,2020-2021
Rui Silva,1,pt POR,GK,26-296,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,11,2020-2021
Willian José,9,br BRA,FW,29-006,90,0,0,0,0,1,0,0,0,0,0,0,0,6,3,2,60.0,11,2020-2021
Mikel Oyarzabal,10,es ESP,LW,23-222,80,0,0,0,0,0,0,3,1,0,0,0,0,3,0,1,0.0,11,2020-2021
   Adnan Januzaj,11,be BEL,LW,25-298,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,11,2020-2021
Ander Barrenetxea,22,es ESP,RW,18-338,69,1,0,0,5,2,0,2,0,1,0,0,0,0,1,0,100.0,11,2020-2021
   Portu,7,es ESP,RW,28-192,21,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,11,2020-2021
Roberto López,28,es ESP,AM,20-219,90,0,0,0,0,2,0,5,0,0,0,0,0,5,0,2,0.0,11,2020-2021
Mikel Merino,8,es ESP,DM,24-160,90,0,0,0,5,1,0,0,1,0,0,0,0,5,1,6,14.3,11,2020-2021
Ander Guevara,16,es ESP,DM,23-145,68,0,0,0,1,0,0,0,1,0,0,0,0,6,0,0,,11,2020-2021
   Martín Zubimendi,36,es ESP,DM,21-301,22,1,0,0,1,0,0,0,0,0,0,0,0,3,1,0,100.0,11,2020-2021
Aihen Muñoz,12,es ESP,LB,23-105,80,1,0,0,1,1,0,7,0,2,0,0,0,4,0,0,,11,2020-2021
   Nacho Monreal,20,es ESP,LB,34-277,10,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,,11,2020-2021
Robin Le Normand,24,es ESP,CB,24-018,90,1,0,0,1,2,0,0,1,0,1,0,0,5,3,1,75.0,11,2020-2021
Igor Zubeldia,5,es ESP,CB,23-244,90,0,0,0,2,0,0,0,0,1,0,0,0,4,5,0,100.0,11,2020-2021
Aritz Elustondo,6,es ESP,RB,26-246,45,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,50.0,11,2020-2021
   Joseba Zaldúa,2,es ESP,RB,28-158,45,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,50.0,11,2020-2021
Álex Remiro,1,es ESP,GK,25-250,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,11,2020-2021
Carlos Bacca,9,co COL,FW,34-082,45,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,,11,2020-2021
   Samuel Chukwueze,11,ng NGA,"RM,FW",21-191,45,0,0,0,1,2,1,0,0,0,0,0,0,3,0,1,0.0,11,2020-2021
Gerard Moreno,7,es ESP,FW,28-236,90,0,0,0,3,2,1,2,1,0,0,0,0,4,2,3,40.0,11,2020-2021
Alfonso Pedraza,24,es ESP,LM,24-234,73,0,0,0,1,1,0,0,1,0,0,0,0,1,1,3,25.0,11,2020-2021
   Takefusa Kubo,16,jp JPN,LM,19-178,17,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,11,2020-2021
Daniel Parejo,5,es ESP,CM,31-227,90,0,0,0,1,1,0,7,0,1,0,0,0,5,2,0,100.0,11,2020-2021
Vicente Iborra,10,es ESP,"CM,DM",32-318,90,1,0,0,0,1,0,0,3,3,0,0,0,8,5,4,55.6,11,2020-2021
Manu Trigueros,14,es ESP,RM,29-043,54,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,,11,2020-2021
   Francis Coquelin,19,fr FRA,"CM,RM",29-200,36,0,0,0,0,0,0,0,1,1,0,0,0,1,1,3,25.0,11,2020-2021
Pervis Estupiñán,15,ec ECU,LB,22-313,90,0,0,0,2,5,1,5,4,1,1,0,0,8,1,1,50.0,11,2020-2021
Pau Torres,4,es ESP,CB,23-318,90,1,0,0,2,0,0,0,0,0,0,1,0,8,0,0,,11,2020-2021
Raúl Albiol,3,es ESP,CB,35-086,90,1,0,0,1,1,0,0,2,0,0,0,0,4,1,1,50.0,11,2020-2021
Mario Gaspar,2,es ESP,RB,30-005,90,0,0,0,0,1,0,1,4,2,0,0,0,5,1,0,100.0,11,2020-2021
Sergio Asenjo,1,es ESP,GK,31-154,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,2020-2021
Antonio Sanabria,19,py PAR,FW,24-271,68,0,0,0,0,0,1,0,0,0,0,0,0,3,4,8,33.3,11,2020-2021
   Diego Lainez,20,mx MEX,FW,20-174,22,0,0,0,1,1,0,2,0,1,0,0,0,2,0,0,,11,2020-2021
Cristian Tello,11,es ESP,LW,29-111,53,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,11,2020-2021
   Loren Morón,16,es ESP,LW,26-336,37,0,0,0,0,1,2,0,0,0,0,0,0,2,3,3,50.0,11,2020-2021
Joaquín,17,es ESP,RW,39-132,90,0,0,0,0,2,0,5,2,0,0,0,0,7,1,3,25.0,11,2020-2021
Nabil Fekir,8,fr FRA,AM,27-135,68,0,0,0,4,3,1,2,0,1,0,0,0,2,2,1,66.7,11,2020-2021
   Borja Iglesias,9,es ESP,AM,27-318,22,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,100.0,11,2020-2021
Andrés Guardado,18,mx MEX,DM,34-063,53,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,50.0,11,2020-2021
   William Carvalho,14,pt POR,DM,28-237,37,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,100.0,11,2020-2021
Guido Rodríguez,21,ar ARG,DM,26-232,90,1,0,0,2,2,0,0,3,2,0,0,0,10,3,3,50.0,11,2020-2021
Álex Moreno,15,es ESP,LB,27-175,90,0,0,0,1,1,0,0,3,0,0,0,0,6,3,2,60.0,11,2020-2021
Sidnei,12,br BRA,CB,31-099,90,0,0,0,1,0,0,0,1,0,0,0,0,3,4,3,57.1,11,2020-2021
