player,shirtnumber,nationality,position,age,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,Matchweek,Season
Álvaro Negredo,18,es ESP,FW,36-232,90,9,22,40.9,155,48,3,7,42.9,3,5,60.0,1,2,50.0,0,0.1,0.0,2,2,0,0,3,31,2021-2022
Lucas Pérez,25,es ESP,FW,33-211,90,19,29,65.5,307,59,6,7,85.7,10,13,76.9,1,6,16.7,0,0.0,0.0,1,2,1,1,3,31,2021-2022
Oussama Idrissi,11,ma MAR,LM,26-042,85,19,27,70.4,331,104,10,10,100.0,5,7,71.4,3,7,42.9,0,0.1,0.1,2,0,2,1,2,31,2021-2022
   Anthony Lozano,9,hn HON,LM,28-349,5,3,3,100.0,30,0,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,31,2021-2022
Rubén Alcaraz,4,es ESP,CM,30-343,90,25,34,73.5,466,108,12,13,92.3,7,8,87.5,4,10,40.0,0,0.0,0.0,0,0,0,0,3,31,2021-2022
Fede San Emeterio,24,es ESP,CM,25-024,85,16,21,76.2,296,117,7,9,77.8,5,6,83.3,3,5,60.0,0,0.0,0.0,0,0,0,0,1,31,2021-2022
   Álex Fernández,8,es ESP,CM,29-176,5,3,6,50.0,95,31,0,0,,1,3,33.3,2,3,66.7,0,0.0,0.0,0,0,0,0,1,31,2021-2022
Iván Alejo,14,es ESP,RM,27-058,63,9,15,60.0,138,65,4,6,66.7,3,6,50.0,1,1,100.0,0,0.0,0.1,0,1,1,1,1,31,2021-2022
   Rubén Sobrino,21,es ESP,RM,29-312,27,0,1,0.0,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,31,2021-2022
Alfonso Espino,22,uy URU,LB,30-094,90,32,47,68.1,547,259,13,13,100.0,12,20,60.0,4,6,66.7,0,0.0,0.0,0,2,1,0,5,31,2021-2022
Víctor Chust,32,es ESP,CB,22-035,90,15,26,57.7,287,92,4,5,80.0,7,8,87.5,2,8,25.0,0,0.0,0.0,0,1,0,0,1,31,2021-2022
Luis Hernández,23,es ESP,CB,32-360,90,15,28,53.6,274,103,5,6,83.3,9,10,90.0,1,12,8.3,0,0.0,0.0,0,2,1,0,2,31,2021-2022
Carlos Akapo,15,gq EQG,RB,29-028,90,24,31,77.4,371,152,12,14,85.7,10,13,76.9,1,3,33.3,0,0.1,0.1,1,2,2,1,2,31,2021-2022
Jeremías Ledesma,1,ar ARG,GK,29-055,90,13,27,48.1,583,511,1,1,100.0,3,3,100.0,9,23,39.1,0,0.0,0.0,0,1,0,0,0,31,2021-2022
Willian José,12,br BRA,FW,30-137,59,12,16,75.0,173,4,7,8,87.5,5,7,71.4,0,1,0.0,0,0.0,0.0,0,0,0,0,0,31,2021-2022
   Borja Iglesias,9,es ESP,FW,29-082,31,2,5,40.0,12,0,2,2,100.0,0,1,0.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,31,2021-2022
Juanmi,7,es ESP,LW,28-324,76,10,14,71.4,113,15,5,7,71.4,4,4,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,31,2021-2022
   Cristian Tello,11,es ESP,LW,30-241,14,5,5,100.0,70,16,2,2,100.0,3,3,100.0,0,0,,0,0.0,0.1,0,1,0,0,1,31,2021-2022
Sergio Canales,10,es ESP,"RW,DM",31-052,90,49,59,83.1,730,146,27,29,93.1,16,18,88.9,3,6,50.0,0,0.0,0.1,0,2,1,0,6,31,2021-2022
Nabil Fekir,8,fr FRA,AM,28-265,90,37,52,71.2,481,182,27,31,87.1,9,12,75.0,1,7,14.3,1,0.1,0.1,2,6,1,0,6,31,2021-2022
Andrés Guardado,18,mx MEX,DM,35-193,67,36,48,75.0,774,250,10,11,90.9,18,22,81.8,7,11,63.6,0,0.0,0.0,0,8,0,0,7,31,2021-2022
   Joaquín,17,es ESP,RW,40-262,23,8,10,80.0,125,41,5,6,83.3,1,1,100.0,1,2,50.0,0,0.0,0.0,1,1,0,0,1,31,2021-2022
Guido Rodríguez,21,ar ARG,DM,27-362,90,53,62,85.5,818,264,30,32,93.8,17,21,81.0,4,7,57.1,0,0.0,0.0,0,3,0,0,8,31,2021-2022
Álex Moreno,15,es ESP,LB,28-305,90,30,40,75.0,468,149,15,16,93.8,11,19,57.9,3,4,75.0,0,0.0,0.0,0,2,0,0,1,31,2021-2022
Marc Bartra,5,es ESP,CB,31-084,90,37,48,77.1,695,184,15,19,78.9,18,19,94.7,3,8,37.5,0,0.0,0.0,0,2,0,0,1,31,2021-2022
Germán Pezzella,16,ar ARG,CB,30-286,90,45,49,91.8,816,315,17,17,100.0,24,24,100.0,4,8,50.0,0,0.0,0.0,0,3,0,0,4,31,2021-2022
Youssouf Sabaly,23,sn SEN,RB,29-035,67,25,30,83.3,340,170,19,20,95.0,5,7,71.4,1,2,50.0,0,0.2,0.1,1,1,0,0,0,31,2021-2022
   Héctor Bellerín,19,es ESP,RB,27-021,23,6,10,60.0,93,36,2,3,66.7,4,6,66.7,0,0,,0,0.0,0.0,0,1,1,0,2,31,2021-2022
Claudio Bravo,25,cl CHI,GK,38-361,90,11,17,64.7,294,274,3,3,100.0,4,4,100.0,3,8,37.5,0,0.0,0.0,0,0,0,0,0,31,2021-2022
Lee Kang-in,19,kr KOR,FW,21-049,53,9,19,47.4,84,14,9,13,69.2,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0,31,2021-2022
   Takefusa Kubo,17,jp JPN,FW,20-309,37,6,9,66.7,80,18,3,4,75.0,3,5,60.0,0,0,,0,0.0,0.0,0,1,0,0,0,31,2021-2022
Vedat Muriqi,7,xk KVX,FW,27-350,90,11,25,44.0,172,1,6,10,60.0,3,9,33.3,1,2,50.0,0,0.0,0.0,0,0,0,0,0,31,2021-2022
Dani Rodríguez,14,es ESP,CM,33-307,90,16,21,76.2,200,74,10,12,83.3,3,5,60.0,1,2,50.0,0,0.2,0.0,2,2,0,0,1,31,2021-2022
Iddrisu Baba,12,gh GHA,CM,26-077,89,15,21,71.4,204,65,7,9,77.8,5,5,100.0,1,3,33.3,0,0.0,0.0,0,1,1,0,2,31,2021-2022
   Clément Grenier,6,fr FRA,CM,31-092,1,0,1,0.0,0,0,0,0,,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0,31,2021-2022
Antonio Sánchez,10,es ESP,CM,25-098,85,38,51,74.5,549,238,26,29,89.7,6,11,54.5,4,7,57.1,0,0.0,0.1,0,7,1,0,7,31,2021-2022
   Rodrigo Battaglia,16,ar ARG,CM,30-271,5,1,3,33.3,11,11,1,2,50.0,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0,31,2021-2022
Jaume Costa,18,es ESP,LB,34-022,90,24,37,64.9,313,139,18,24,75.0,6,11,54.5,0,1,0.0,0,0.0,0.1,0,0,0,0,0,31,2021-2022
Brian Oliván,3,es ESP,CB,28-008,90,26,39,66.7,554,289,10,10,100.0,11,16,68.8,5,13,38.5,0,0.0,0.0,1,3,0,0,4,31,2021-2022
Antonio Raillo,21,es ESP,CB,30-183,90,21,22,95.5,442,152,6,7,85.7,12,12,100.0,3,3,100.0,0,0.0,0.0,0,2,0,0,3,31,2021-2022
Martin Valjent,24,sk SVK,CB,26-119,90,19,27,70.4,373,104,7,9,77.8,10,12,83.3,2,6,33.3,0,0.0,0.0,0,1,0,0,1,31,2021-2022
Pablo Maffeo,15,es ESP,RB,24-271,90,24,33,72.7,397,158,11,11,100.0,9,15,60.0,3,6,50.0,0,0.0,0.0,0,0,0,0,0,31,2021-2022
Sergio Rico,25,es ESP,GK,28-220,90,16,26,61.5,797,751,2,2,100.0,0,0,,14,24,58.3,0,0.0,0.0,1,2,0,0,0,31,2021-2022
Antoine Griezmann,8,fr FRA,FW,31-019,45,15,19,78.9,223,33,8,10,80.0,7,9,77.8,0,0,,0,0.0,0.0,0,2,0,0,1,31,2021-2022
   Matheus Cunha,19,br BRA,FW,22-317,45,4,9,44.4,52,4,3,4,75.0,1,2,50.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,31,2021-2022
Luis Suárez,9,uy URU,FW,35-075,61,7,17,41.2,81,13,6,11,54.5,1,3,33.3,0,1,0.0,0,0.0,0.0,0,0,0,0,1,31,2021-2022
   João Félix,7,pt POR,FW,22-150,29,6,10,60.0,94,40,4,5,80.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,1,2,0,2,31,2021-2022
Koke,6,es ESP,CM,30-091,45,42,51,82.4,612,116,27,30,90.0,13,15,86.7,2,5,40.0,0,0.0,0.0,1,2,1,0,1,31,2021-2022
   Thomas Lemar,11,fr FRA,CM,26-148,45,15,25,60.0,254,83,7,10,70.0,5,8,62.5,2,4,50.0,0,0.0,0.0,1,0,0,0,0,31,2021-2022
Geoffrey Kondogbia,4,cf CTA,CM,29-053,90,52,66,78.8,908,308,26,31,83.9,19,24,79.2,5,6,83.3,0,0.0,0.0,0,5,0,0,8,31,2021-2022
Rodrigo De Paul,5,ar ARG,CM,27-320,61,36,46,78.3,627,183,19,23,82.6,10,12,83.3,5,9,55.6,0,0.0,0.0,0,4,0,0,5,31,2021-2022
