player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,Matchweek,Season,Equipo,unique_id,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
Iván Cuéllar,1,es ESP,GK,33-083,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,2017-2018,Leganés ,Iván Cuéllar_Leganés _1,5.0,0.0,4.0,100.0,1.6,9.0,26.0,34.6,26.0,5.0,80.8,49.7,5.0,100.0,67.8,8.0,0.0,0.0,0.0,
Fernando Pacheco,1,es ESP,GK,25-092,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1,2017-2018,Alavés ,Fernando Pacheco_Alavés _1,3.0,1.0,2.0,66.7,1.0,5.0,21.0,23.8,30.0,4.0,46.7,33.0,7.0,100.0,57.3,11.0,1.0,9.1,2.0,14.3
Neto,13,br BRA,GK,28-030,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1,2017-2018,Valencia ,Neto_Valencia _1,4.0,0.0,4.0,100.0,0.7,3.0,11.0,27.3,14.0,6.0,64.3,44.6,2.0,100.0,74.0,6.0,0.0,0.0,0.0,5.0
Leandro Chichizola,13,ar ARG,GK,27-144,90,1.0,0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1,2017-2018,Las Palmas ,Leandro Chichizola_Las Palmas _1,6.0,1.0,5.0,83.3,0.8,9.0,23.0,39.1,36.0,9.0,36.1,31.6,10.0,100.0,65.0,12.0,1.0,8.3,0.0,7.5
Sergio Álvarez,1,es ESP,GK,31-016,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1,2017-2018,Celta Vigo ,Sergio Álvarez_Celta Vigo _1,6.0,3.0,3.0,66.7,2.4,7.0,15.0,46.7,32.0,0.0,37.5,34.7,6.0,50.0,36.3,14.0,0.0,0.0,0.0,13.0
Gerónimo Rulli,1,ar ARG,GK,25-091,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,2017-2018,Real Sociedad ,Gerónimo Rulli_Real Sociedad _1,5.0,2.0,3.0,60.0,1.7,7.0,21.0,33.3,41.0,4.0,39.0,35.2,6.0,83.3,50.5,12.0,2.0,16.7,0.0,12.2
Gorka Iraizoz,1,es ESP,GK,36-166,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,1,2017-2018,Girona ,Gorka Iraizoz_Girona _1,3.0,2.0,1.0,33.3,0.6,6.0,14.0,42.9,16.0,4.0,50.0,43.9,6.0,100.0,61.8,7.0,2.0,28.6,0.0,5.2
Jan Oblak,13,si SVN,GK,24-224,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,1,2017-2018,Atlético Madrid ,Jan Oblak_Atlético Madrid _1,6.0,2.0,4.0,66.7,3.2,1.0,13.0,7.7,21.0,1.0,47.6,41.1,10.0,30.0,37.4,22.0,1.0,4.5,1.0,9.0
David Soria,13,es ESP,GK,24-137,4,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,2017-2018,Sevilla ,David Soria_Sevilla _1,2.0,,2.0,,0.8,,,,,1.0,,,,,,,,,,
Pau López,1,es ESP,GK,22-249,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1,2017-2018,Espanyol ,Pau López_Espanyol _1,4.0,1.0,3.0,75.0,2.0,3.0,20.0,15.0,19.0,2.0,73.7,46.8,6.0,100.0,61.3,16.0,2.0,12.5,0.0,6.5
Kepa Arrizabalaga,1,es ESP,GK,22-321,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,2017-2018,Athletic Club ,Kepa Arrizabalaga_Athletic Club _1,2.0,0.0,2.0,100.0,0.2,4.0,10.0,40.0,18.0,4.0,38.9,34.6,4.0,75.0,56.3,14.0,1.0,7.1,1.0,15.5
Vicente Guaita,13,es ESP,GK,30-222,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,2017-2018,Getafe ,Vicente Guaita_Getafe _1,2.0,0.0,2.0,100.0,0.4,11.0,30.0,36.7,21.0,1.0,81.0,49.2,13.0,100.0,61.6,21.0,1.0,4.8,0.0,6.7
Marc-André ter Stegen,1,de GER,GK,25-112,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,2017-2018,Barcelona ,Marc-André ter Stegen_Barcelona _1,0.0,0.0,0.0,,0.0,2.0,6.0,33.3,18.0,0.0,11.1,23.9,6.0,66.7,51.8,0.0,0.0,,1.0,25.0
