Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Matchweek,Season
Luis Javier Suárez,9,co COL,FW,25-252,90,0,0,0,0,4,2,0,0,27.0,1.0,0,2.0,0.6,0.6,0.0,1.0,0.0,9.0,12.0,75.0,1.0,15.0,2.0,0.0,0.0,1,2023-2024
Adri Embarba,10,es ESP,"LW,LM",31-096,90,0,0,0,0,3,0,0,0,58.0,2.0,0,1.0,0.1,0.1,0.5,3.0,0.0,30.0,40.0,75.0,1.0,31.0,4.0,6.0,2.0,1,2023-2024
Lázaro,14,br BRA,RW,21-152,45,0,0,0,0,1,0,0,0,16.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,8.0,87.5,0.0,9.0,0.0,3.0,0.0,1,2023-2024
   Sergio Arribas,19,es ESP,"FW,RW",21-315,45,0,0,0,0,3,0,0,0,34.0,2.0,1,0.0,0.1,0.1,0.1,6.0,0.0,21.0,25.0,84.0,6.0,15.0,1.0,2.0,1.0,1,2023-2024
Largie Ramazani,7,be BEL,"AM,RM",22-165,82,0,0,0,0,2,2,1,0,33.0,1.0,1,0.0,0.0,0.0,0.1,6.0,0.0,15.0,19.0,78.9,2.0,26.0,2.0,6.0,2.0,1,2023-2024
   Marko Milovanović,29,rs SRB,RM,20-007,8,0,0,0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1,2023-2024
Iddrisu Baba,4,gh GHA,"DM,CM",27-201,76,0,0,0,0,2,0,0,0,42.0,1.0,1,1.0,0.4,0.4,0.0,3.0,0.0,33.0,37.0,89.2,5.0,25.0,0.0,1.0,0.0,1,2023-2024
   Gonzalo Melero,11,es ESP,CM,29-221,14,0,0,0,0,0,0,0,0,15.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,69.2,0.0,10.0,1.0,1.0,1.0,1,2023-2024
Lucas Robertone,5,ar ARG,"DM,CM",26-146,77,0,0,0,0,1,0,0,0,67.0,2.0,1,0.0,0.0,0.0,0.0,4.0,0.0,48.0,61.0,78.7,5.0,39.0,0.0,1.0,0.0,1,2023-2024
   Dion Lopy,6,sn SEN,CM,21-190,13,0,0,0,0,1,0,0,0,14.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,92.3,0.0,13.0,0.0,0.0,0.0,1,2023-2024
Sergio Akieme,15,es ESP,LB,25-238,90,0,0,0,0,1,1,0,0,63.0,3.0,0,1.0,0.0,0.0,0.4,4.0,0.0,39.0,50.0,78.0,4.0,35.0,6.0,8.0,6.0,1,2023-2024
