playerId,pid,nn
79,2,Capa
268,3,Januzaj
793,3,Carrasco
81,3,Muniain
327,3,Óscar Plano
576,4,Lucas Pérez
184,1,David Soria
215,3,Campaña
228,3,Melero
369,2,Ximo Navarro
650,2,David García
927,4,Alex Berenguer
970,4,Bryan Gil
74,2,Yuri
159,4,Aspas
335,4,Sergi Guardiola
356,4,Gerard
379,1,Dmitrovic
868,3,David Silva
53,1,Oblak
65,4,Correa
293,4,Nolito
336,4,Sandro
561,4,Isak
566,2,Koundé
568,4,Manu Vallejo
670,3,Edu Expósito
676,2,Trippier
851,2,Josema
931,4,Marcos André
68,1,Unai Simón
75,2,Iñigo Martínez
90,4,Villalibre
91,4,Williams
204,1,Aitor Fdez
248,4,Mariano
259,2,Aritz
282,2,Escudero
308,3,Soler
844,1,Edgar Badia
67,3,Marcos Llorente
77,2,Yeray
192,2,Djené
231,2,Carvajal
240,3,Modric
274,1,Remiro
386,2,Paulo Oliveira
415,4,EnNesyri
644,1,Sergio Herrera
669,3,Fernando
673,2,Domingos Duarte
750,2,Monreal
920,3,Jony
922,4,Tete Morente
55,2,Giménez
56,2,Savic
58,3,Koke
62,3,Saúl
99,2,Lenglet
111,4,Messi
112,4,Dembélé
166,2,Hermoso
235,2,Varane
258,2,Zaldua
294,4,Munir
312,4,Gameiro
381,2,Bigas
384,2,Arbilla
390,3,Pedro León
394,4,Kike García
567,4,Ocampos
585,2,Rober Correa
691,4,Machís
806,2,M Mauro
832,4,Ferreiro
947,1,Ledesma
953,3,Marcone
92,3,Vesga
97,2,Sergi Roberto
102,3,Rakitic
187,2,Damián
190,2,Olivera
193,3,Arambarri
264,4,Oyarzabal
270,3,Guevara
271,3,Mikel Merino
284,2,Navas
321,1,Masip
329,3,Alcaraz
350,3,Chukwueze
541,4,João Félix
574,2,Albiol
653,2,Estupiñán
684,2,Nyom
731,3,Timor
788,2,Chema
827,2,Insua
828,2,Javi Galán
838,2,Gonzalo Verdú
846,3,Josan
853,3,Milla
878,2,Bruno
880,3,Vencedor
911,4,Muto
919,3,Malsa
923,3,Raúl Guti
94,2,Jordi Alba
95,2,Piqué
211,2,Vezo
213,2,Postigo
236,2,Nacho
265,3,Zubeldia
306,3,Guedes
324,2,Joaquín F
330,3,Hervías
340,1,Andrés Fdez
343,2,Mario
353,3,Iborra
393,3,Diop
544,3,De Jong
555,4,Hazard
637,3,Moncayola
649,2,Unai García
655,3,Iñigo Pérez
680,3,Moi Gómez
704,4,Joselu
718,2,Pau Torres
817,3,Alex Fernández
818,3,A Perea
822,4,Salvi Sánchez
831,3,Mosquera
833,3,Mikel Rico
876,2,Guillamón
879,3,Orellana
887,2,Son
905,1,Claudio Bravo
916,2,Siovas
926,4,Cucho Hernández
989,3,Jota Peleteiro
93,1,Ter Stegen
128,3,Diego Lainez
217,3,Morales
246,3,Kroos
277,1,Vaclík
310,3,Parejo
313,4,Santi Mina
323,2,Nacho
339,1,Asenjo
344,2,Pedraza
357,4,Bacca
371,2,Laguardia
374,3,Tomás Pina
387,3,Cucurella
395,4,Sergi Enrich
553,2,Clerc
559,2,Mendy
654,3,Roberto Torres
729,3,Oier
751,2,Roncaglia
768,2,Foulquier
805,2,Fali
842,4,Pere Milla
864,3,Jonsson
875,3,Racic
888,4,Dani Gómez
896,4,Morcillo
913,3,Yunus
915,3,Borja García
955,2,Diego Glez
958,2,Barragán
961,3,Jairo
86,3,Raúl García
124,3,Guardado
133,4,Loren
138,1,Rubén Blanco
179,4,Borja Iglesias
200,4,Mata
202,4,Ángel
222,4,Roger
230,1,Courtois
238,3,Isco
242,3,Asensio
245,3,Lucas Vázquez
247,4,Vinícius Jr
275,4,Portu
296,3,Jordán
301,2,Gabriel Paulista
302,2,Gayá
332,3,Toni Villa
348,3,Trigueros
362,1,Pacheco
365,2,Rubén Duarte
564,2,Diego Carlos
565,4,Luuk de Jong
572,3,San Emeterio
581,4,Luis Rioja
606,3,Montoro
642,2,Nacho Vidal
652,4,Rubén García
663,4,Enric Gallego
665,2,Aidoo
666,4,Griezmann
674,4,Soldado
675,3,Óliver Torres
690,2,Javi Sánchez
695,4,Adrián López
766,3,Sancet
775,3,Guido Rodríguez
801,2,A Espino
807,2,Akapo
812,4,I Alejo
814,4,Malbasic
815,3,Garrido
825,4,Okazaki
830,2,Pedro López
850,2,Juan Cruz
860,4,Kubo
867,4,Rafa Mir
874,3,Óscar Rodríguez
886,4,De Frutos
898,3,Tapia
909,2,Pozo
912,2,Acuña
918,3,Pedri
928,3,Pjanic
938,2,Dest
942,4,Budimir
59,3,Lemar
71,2,Balenziaga
73,2,Lekue
122,2,Sidnei
125,3,Tello
147,2,Néstor Araújo
150,3,Brais Méndez
214,3,Rochina
224,4,Sergio León
298,1,Jaume Domenech
305,3,Cheryshev
311,3,Kondogbia
320,2,Murillo
360,2,Rubén Peña
372,3,Manu García
389,3,Sergio Álvarez
537,2,Felipe
547,3,Denis Suárez
592,3,Fede Vico
651,4,Kike Barja
687,4,Braithwaite
688,3,Yangel Herrera
700,2,Óscar Duarte
701,3,Barrenetxea
728,3,Radoja
736,3,Gonalons
809,2,Iza Carcelén
834,3,Juan Carlos
848,3,Mfulu
856,3,Guridi
859,2,Lato
882,4,Aitor Ruibal
885,4,Soro
889,3,Zubimendi
893,3,Battaglia
903,2,Lejeune
904,3,Coutinho
917,4,Trincao
921,4,Sergio Gómez
945,2,Saidy Janko
951,4,Carrillo
973,4,Miguel Rodriguez
984,4,Borja Sainz
986,4,Guidetti
61,3,Vitolo
69,1,Herrerín
78,2,Unai Nuñez
80,3,Dani García
82,3,Unai López
85,3,Córdoba
103,3,Aleñá
114,1,Neto
115,1,Joel Robles
119,2,Júnior
121,2,Bartra
127,3,William Carvalho
132,3,Joaquín
135,4,Juanmi
136,3,Brasanac
137,3,Inui
140,1,Iván Villar
141,2,Juncà
148,3,Fran Beltrán
196,3,Portillo
201,4,Jorge Molina
207,2,Coke
209,2,Toño
218,3,Vukcevic
226,2,Miramón
232,2,Marcelo
234,2,Vallejo
253,1,Moyá
260,2,Aihen
279,3,Aleix Vidal
283,2,Sergi Gómez
288,3,F Vázquez
304,2,Wass
307,3,Coquelin
309,3,Lee KangIn
314,4,Sobrino
317,3,Jason
334,4,Enes Ünal
341,2,Jaume Costa
346,2,Funes Mori
366,2,Rodrigo Ely
367,2,Adrián Marín
368,2,Martín
539,2,Lodi
557,4,Rodrygo
569,2,Jorge Sáenz
583,2,Esteban Burgos
599,1,Rui Silva
601,2,Germán
608,1,Aarón Escandell
638,1,Rubén Martínez
661,4,Ivan Saponjic
677,1,Dani Martín
679,3,Eteki
683,3,Gudelj
705,3,Waldo
710,2,Etxeita
711,2,Mangala
721,3,Ontiveros
739,1,Yoel
742,2,Thierry Correia
743,2,Róber Pier
754,3,Michel
776,3,Riqui Puig
778,1,Roberto Jiménez
783,4,Fer Niño
792,2,Rafa Soares
804,1,David Gil
810,3,Pombo
824,3,Eugeni
826,1,Alvaro Fernandez
829,2,Pulido
840,4,Nino
841,3,Victor Rodríguez
843,2,Dani Calvo
852,4,Escriche
855,3,Merquelanz
857,4,Bautista
861,2,Luis Pérez
866,3,Seoane
871,3,Recio
877,1,Rulli
881,2,Montoya
883,3,Baeza
884,2,David Costas
890,2,Maffeo
891,2,Luisinho
892,4,Deyverson
894,2,Javi López
895,3,Zarraga
900,4,Weissman
902,3,Roberto López
908,1,Lunin
924,4,Lucas Boyé
925,2,Cifu
930,4,Luis Suárez
941,2,Nehuen
943,2,K Rekik
944,2,Foyth
946,3,Roque Mesa
948,2,Alcalá
952,3,Luismi
954,2,Salinas
959,2,Barri
963,3,Esquerdo
969,1,R Yáñez
974,3,Gabri Veiga
976,2,S Carreira
977,2,Fontán
978,2,Miranda
980,4,Camello
983,4,Iñigo Vicente
987,2,Tachi
988,1,Sivera
142,2,Olaza
597,2,Carlos Neva
727,2,Álex Moreno
143,2,Hugo Mallo
660,2,Emerson
910,2,Víctor Ruiz
244,3,Casemiro
255,2,Le Normand
160,4,Maxi Gómez
845,4,Fidel
72,2,De Marcos
